"","grade","review"
"1","10"," 
                                            올드보이의 최민식 뺨칠 정도의 연기다.  10/10
                                        "
"2","10"," 
                                            신기하다이 영화 지금껏 네번 봤는데도자꾸 장면 생각나고 여운이 길어 또 보고 싶음.이번 주에 또 보러가게 될 것 같다.올해 내가 가장 극장에서 많이 본 영화.예술 영화로서 정말 잘 만들었다 호아킨 피닉스의 아서일때 연기와조커로 바뀌었을때 연기가 자꾸 생각난다"
"3","10"," 
                                            5일 지나도 문득 생각나는 영화는 걸작이랬는데.. 1주일 지나도 계속 생각난다. 
                                        "
"4","10"," 
                                            코믹스 영화는 믿고 거르는데이 영화는 다르다.2019년 최고의 영화가 아닌가싶다
                                        "
"5","9"," 
                                            
                                        "
"6","10"," 
                                            좋아요
                                        "
"7","10"," 
                                            
                                        "
"8","0"," 
                                            네이버는 1점부터 줄수 잇는데 0점을 줄수 잇어서 행복! 오늘 좋은 하루입니다.
                                        "
"9","9"," 
                                            뭐 하나 나무랄데 없는 완벽에 가까운 영화진한 슬픔이 다가오는 현실, 결국은 환경이 나를지배해 버린 , 발버둥 치는 인간군상의 고담시"
"10","10"," 
                                            완벽한영화음악,춤,연출,연기까지,  편견없이보려고 아무정보없이밨어요.  근래 최고의영화라고 단언합니다.
                                        "
"11","9"," 
                                            현시대의 문제점을 통찰하고 우리의 마음 속을 꿰뚫어 보는 혜안이 있는 영화.
                                        "
"12","0"," 
                                            왜 명작일까 ~??그렇다해서봤는데이런영화는 사람을 정신이상자로 만듬영화 가 끝나기만을 기다림더 악하고 데드한 단어가있음 기제하고싶음
                                        "
"13","9"," 
                                            간만에 진짜 영화를 봤음
                                        "
"14","10"," 
                                            개인마다 평가가 다를 수 있겠다는 생각은 하지만, 제 기준에선 최고의 영화중 하나로 꼽을 만한 영화 였습니다:
                                        "
"15","10"," 
                                            와우~~인생영화중 최고임연기력 연출 모두 엄청남정말 최고의 영화
                                        "
"16","8"," 
                                            누구나 내면에는 조커가 숨어있다.
                                        "
"17","10"," 
                                            거의 시작하자마자 몰입하고 갈수록 감탄만 더해감. 
                                        "
"18","10"," 
                                            볼만한 영화 연기력 최고!
                                        "
"19","1"," 
                                            .
                                        "
"20","9"," 
                                            영화안에서의 살인은 현실속의 살인으로 보면 안된다.. 현실속에서 살아가고 있는 우리들 내면의 욕구를 분출 시켜주는것 같아서  뭔가 시원하면서 조금 두렵기도 했지만... 아서(조커)가 조커가 되기까지는성장과정-생활환경-인간관계-경제상황 등 복합적으로 만들어진것 같다...이세상엔 내면에 조커들이 많다.. 요즘 세상은 너무 복잡하다 세상이 좀 순해지길 희망해본다...
                                        "
"21","10"," 
                                            매우 슬픈 영화지만 한편 뿌듯함도 조금은 가질수 있다 명작으로 칭하기에 충분하다  배우의 연기는 감탄스럽다!!
                                        "
"22","3"," 
                                            두시간 동안 정신병자가 된 느낌. 보고 있는것 자체가 괴로운...무슨 얘기가 하고 싶었던 걸까..이런 극단적인 영화에 많은 사람들이 공감한다는건 또 무슨 의미인지..
                                        "
"23","10"," 
                                            니체가 이 영화를 봤다면 뭐라고 했을까?.....비트겐슈타인은?
                                        "
"24","1"," 
                                            보면 우울하고 정신나갈것 같은 영화
                                        "
"25","10"," 
                                            
                                        "
"26","10"," 
                                            코믹스 바탕인물의 영화인데 그냥 요즘 현실에 대한 적나라한 비평을 쏟아내는 듯
                                        "
"27","10"," 
                                            
                                        "
"28","10"," 
                                            
                                        "
"29","10"," 
                                            오랫만에 시간 가는 줄 모르고 본 영화
                                        "
"30","10"," 
                                            무겁게 깔리는 첼로음과 흐릿한 영상, 급속히 우울해지는 영화. 하지만 기념비적인 명작이다. 조아퀸 피닉스의 연기는 말할 것도 없고 선악의 기준을 무너뜨리는 악마같은 연출도 대단하다. 쓰레기통을 발로 차며 울분을 토하지만 뒤로 무심히 지나가는 열차 등 몇 장면은 오랫동안 기억될 것 같다. 자신하건대, 감독도 배우도 영혼을 악마에 판게 틀림없다. 그리고 이 영화, 2십수년 전이었으면 여러 이유로(폐륜, 사회혼란 조성 등) 상영불가됐을게 틀림없는 영화다. 뜬금없이 조아퀸 피닉스를 나폴레옹의 마지막 백일을 다룬 영화에 캐스팅하면 적격이다 싶은 생각이 들었다. 
                                        "
"31","3"," 
                                            
                                        "
