"","title","review"
"1","82년생 김지영","82년생 김지영담담하게 보여주는 대한민국에서 여성으로서 살아가는 삶. "
"2","82년생 김지영","82년생 김지영sjw1**** 2019.10.23 10:48내가 딱 82년생인데, 정말 공감되거든ㅠㅠ 여자라는 이유만으로 중학교만 겨우 마치고, 90년대 중반 어떤 친구는 가발공장가고, 어떤 친구는 시내버스 안내양하고, 동생들 위해 하고싶은거 못하고, 먹고싶은거 못 먹고, 하루에 15시간 이상 일하면서 동생들 대학교 보내고ㅠㅠ그래서 시집가면 시할머니,시부모님 다 모시고 시동생이 다섯명에 추운 겨울날 얼어터진 개울물에서 빨래하고 ㅠㅠㅠ82년생 살아온 길이잖아, 이거 이해 못하면 안되지 ㅠㅠㅠ봉제공장간 친구야, 잘 지내니, 보고싶다ㅠㅠㅠ....거짓말도 머리가 나쁘면 하지마라버스안내양이 없어진게 1989년 12월 30일인데82년생이면 7살인데 버스안내양을 친구로 뒀다고?그냥 목위에 달린거 떼고 다녀랔ㅋㅋ머리는 생각하라고 있는거짘 "
"3","82년생 김지영","82년생 김지영난 82아니고 91년생 여자라 잘 공감은 안됨. 영화관서 우는 사람도 간간히 있던데 흠;;;; 영화자체는 논란과 달리 남녀대결구도도 아닌건 좋았 "
"4","82년생 김지영","82년생 김지영"
"5","82년생 김지영","82년생 김지영결혼해도 후회 안해도 후회 할거면 그냥 혼자 살아라 ㅋㅋ ㅎㅎ "
"6","82년생 김지영","82년생 김지영왜 젊은세대가 애를 낳기 힘든지 잘 보여주는 영화. 영화에선 대현이가 외벌이가 가능하기라도 했지 현실은 어쩔수없는 맞벌이도 많음. "
"7","조커","조커그냥 만점이다... 뭐하나 빠지는게 없음.. 호아킨의 웃음소리 듣자마자 소름끼치면서도 측은하고 여러 감정들이 교차한다.추가로 금연4년차인데 흡연장면들 보면서 처음으로 담배 말렸다. ㄷㄷ "
"8","두번할까요","두번할까요그래도 김지영보다 낮고 근데 이것도 망하면 귀수는 어쩌냐? "
"9","82년생 김지영","82년생 김지영"
"10","82년생 김지영","82년생 김지영엄마와 할머니로 빙의된 지영 씬에서 눈물이 멈추질 않았습니다.지영이와 비슷한 경험은 없지만엄마 생각이 많이 났습니다.우리 엄마세대는 대부분 지영엄마와 비슷하게 사셨으니까요.좋은 영화 감사합니다. "
