"result1" "result2" "result3" "result4"
"1" "매장명= 역삼아레나빌딩" "주소와 전화번호= 서울특별시 강남구 언주로 425 (역삼동)
02-568-3762" "위도= 37.501087" "경도= 127.043069"
"2" "매장명= 논현역사거리" "주소와 전화번호= 서울특별시 강남구 강남대로 538 (논현동)
02-3442-3672" "위도= 37.510178" "경도= 127.022223"
"3" "매장명= 국기원사거리" "주소와 전화번호= 서울특별시 강남구 테헤란로 125 (역삼동)
02-568-3668" "위도= 37.499517" "경도= 127.031495"
"4" "매장명= 대치대원빌딩R" "주소와 전화번호= 서울특별시 강남구 남부순환로 2947 (대치동)
02-568-3704" "위도= 37.494668" "경도= 127.062583"
"5" "매장명= 삼성역섬유센터R" "주소와 전화번호= 서울특별시 강남구 테헤란로 518 (대치동)
02-568-3648" "위도= 37.507750" "경도= 127.060651"
"6" "매장명= 압구정R" "주소와 전화번호= 서울특별시 강남구 언주로 861 (신사동)
02-541-3622" "위도= 37.5273669" "경도= 127.033061"
"7" "매장명= 수서역R" "주소와 전화번호= 서울특별시 강남구 광평로 281 (수서동)
02-6181-3688" "위도= 37.488008" "경도= 127.102650"
"8" "매장명= 양재강남빌딩R" "주소와 전화번호= 서울특별시 강남구 남부순환로 2621 (도곡동)
02-571-3604" "위도= 37.485192" "경도= 127.036685"
"9" "매장명= 선릉동신빌딩R" "주소와 전화번호= 서울특별시 강남구 테헤란로 409 (삼성동)
02-2051-3562" "위도= 37.505321" "경도= 127.050409"
"10" "매장명= 봉은사로선정릉" "주소와 전화번호= 서울특별시 강남구 봉은사로 446 (삼성동)
02-539-3564" "위도= 37.511293" "경도= 127.048409"
"11" "매장명= 강남오거리" "주소와 전화번호= 서울특별시 강남구 봉은사로2길 39 (역삼동)
02-557-3484" "위도= 37.502117" "경도= 127.026672"
"12" "매장명= 스타필드코엑스몰R" "주소와 전화번호= 서울특별시 강남구 영동대로 513 (삼성동)
02-6002-3467" "위도= 37.50999" "경도= 127.061455"
"13" "매장명= 강남구청정문" "주소와 전화번호= 서울특별시 강남구 학동로 419 (청담동)
02-514-3397" "위도= 37.518181" "경도= 127.045995"
"14" "매장명= 도곡공원" "주소와 전화번호= 서울특별시 강남구 도곡로 205 (역삼동)
02-565-3496" "위도= 37.492805" "경도= 127.041309"
"15" "매장명= 강남R" "주소와 전화번호= 서울특별시 강남구 강남대로 390 (역삼동)
02-561-3478" "위도= 37.497711" "경도= 127.028439"
"16" "매장명= 대치은마사거리" "주소와 전화번호= 서울특별시 강남구 도곡로 457 (대치동)
02-554-3315" "위도= 37.498973" "경도= 127.060172"
"17" "매장명= 청담영동대로" "주소와 전화번호= 서울특별시 강남구 영동대로 720 (청담동)
02-3443-3371" "위도= 37.522156" "경도= 127.056449"
"18" "매장명= 압구정" "주소와 전화번호= 서울특별시 강남구 압구정로30길 17 (신사동)
02-541-3306" "위도= 37.526283" "경도= 127.029560"
"19" "매장명= 신사가로수" "주소와 전화번호= 서울특별시 강남구 압구정로12길 32 (신사동)
02-3446-3356" "위도= 37.521852" "경도= 127.022510"
"20" "매장명= 청담스타R" "주소와 전화번호= 서울특별시 강남구 도산대로57길 24 (청담동)
02-514-3364" "위도= 37.525216" "경도= 127.041827"
"21" "매장명= 강남우성" "주소와 전화번호= 서울특별시 강남구 강남대로 328 (역삼동)
02-565-3347" "위도= 37.492396" "경도= 127.030910"
"22" "매장명= 학동사거리" "주소와 전화번호= 서울특별시 강남구 도산대로 328 (논현동) HS빌딩
02-758-8971" "위도= 37.52236449999999" "경도= 127.03795430000002"
"23" "매장명= 대치사거리" "주소와 전화번호= 서울특별시 강남구 삼성로 402 (대치동)
02-561-3287" "위도= 37.503331" "경도= 127.058817"
"24" "매장명= 포스코사거리" "주소와 전화번호= 서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩
02-554-3235" "위도= 37.5075307" "경도= 127.05742710000004"
"25" "매장명= 을지병원사거리" "주소와 전화번호= 서울특별시 강남구 논현로 752 (논현동,구산빌딩)
02-758-8896" "위도= 37.5191632" "경도= 127.0286446"
"26" "매장명= 신사역" "주소와 전화번호= 서울특별시 강남구 도산대로 108 (논현동) 렉스타워
02-758-8848" "위도= 37.5162021" "경도= 127.0207428"
"27" "매장명= 도곡역" "주소와 전화번호= 서울특별시 강남구 남부순환로 2909 (대치동)
02-758-8809" "위도= 37.492167" "경도= 127.057398"
"28" "매장명= 서울세관사거리" "주소와 전화번호= 서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회
02-758-8798" "위도= 37.514887" "경도= 127.035653"
"29" "매장명= 청담사거리" "주소와 전화번호= 서울특별시 강남구 도산대로 458 (청담동) 리츠타워
02-758-8726" "위도= 37.5236351" "경도= 127.04686509999999"
"30" "매장명= 한티역" "주소와 전화번호= 서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)
02-758-8683" "위도= 37.496801" "경도= 127.055055"
"31" "매장명= 역삼초교사거리" "주소와 전화번호= 서울특별시 강남구 역삼로 123 (역삼동)
02-758-8739" "위도= 37.4941059" "경도= 127.03299730000003"
"32" "매장명= 코엑스몰" "주소와 전화번호= 서울특별시 강남구 영동대로 513 (삼성동) 코엑스
02-758-8733" "위도= 37.511921" "경도= 127.059024"
"33" "매장명= 가로수길" "주소와 전화번호= 서울특별시 강남구 논현로175길 94, 1~2층 (신사동)
02-758-8661" "위도= 37.5231593" "경도= 127.02162499999997"
"34" "매장명= 역삼대로" "주소와 전화번호= 서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)
02-758-8626" "위도= 37.501623" "경도= 127.039375"
"35" "매장명= 역삼포스코" "주소와 전화번호= 서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)
02-758-8631" "위도= 37.499721" "경도= 127.033582"
"36" "매장명= 강남대로" "주소와 전화번호= 서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)
02-758-8624" "위도= 37.50314" "경도= 127.025546"
"37" "매장명= 청담" "주소와 전화번호= 서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)
