"","comicName","comicSummary","comicGrade"
"1","그를 좋아한다","그는 누구일까","9.71"
"2","3구역 숲","코아의 특별함","9.49"
"3","우주의 수호천사","우주의 수호천사!","9.88"
"4","멜팅 포인트","","9.78"
"5","등교하는 근식이","목숨을 건 개근일기","9.89"
"6","슬픔을 먹는 남자","성장물,감성,판타지","9.92"
"7","미용사 : LOST HERO","전직용사현직미용사!","9.72"
"8","어느 남고생의 하루","말하는강아지와의일상","9.89"
"9","소녀가 여행하는 법 2 베트남 프렌즈 여행기","여행장려웹툰","9.86"
"10","당신의 한 순간","#심리#영혼#힐링","9.78"
"11","달콤한 비밀 연애","사내연애 후  일상","9.67"
"12","루이와 졸개들 R","나만알고싶은 양아치","9.79"
"13","시크릿가족","성교육웹툰!!","9.88"
"14","그날, 우리들의 여름.","격주 연재합니다.","9.85"
"15","네가 꿈꾸는 동안에","꿈으로 드러난 범죄","9.92"
"16","다시 돌아온","다시 돌아온","9.74"
"17","헌트","어디에 있는가","9.64"
"18","리프로듀싱","내가 여자 아이돌?","9.60"
"19","오! 덕후를 위하여","덕심충만, 취향존중!","9.89"
"20","나는 부활 마법을 가졌다","부활판타지","9.86"
"21","Twins Love Story (트윈스 러브 스토리)","쌍둥이의 사랑이야기","9.87"
"22","인더하우스","동거 로맨스","9.84"
"23","만가","란의 성장 판타지.","9.48"
"24","마법약사","포션장사하는 이야기","9.95"
"25","멋도모르는여자","일상부부툰","9.83"
"26","뚜바비앙","뚜바비앙","9.90"
"27","감각의 어빌러티","감각능력으로싸운다!","9.87"
"28","3번째 도막","개그 일상 이야기","9.88"
"29","소금물 방","오피스 블록버스터","9.86"
"30","정글짐 위에 올라","우리의 초딩 시절","9.91"
"31","불편해요, 선배님!","캠퍼스 로맨스","9.93"
"32","천상대전","천상대전","9.87"
"33","횡설수설 다이어리","40대 가장의 일상","9.33"
"34","테이커","17살의 킬러","9.84"
"35","나의 수상한 행성","소년 소녀와 소년","9.88"
"36","신비한 마녀 도감","유니콘덕후마녀의비밀","9.93"
"37","타챠노트","프리랜서일기","9.77"
"38","솔체","이루지못한시작의일기","9.61"
"39","행복을 찾다.","소녀의 행복은 현재 진행형?","9.86"
"40","빨간 고백","다시 돌아온 너에게","9.79"
"41","똥두","사춘기 소녀의 일상","9.70"
"42","불만있어?","실화119 웹툰","9.89"
"43","생기발랄 다이어리","대안학교 이야기","9.54"
"44","조금 수상한 연애시뮬레이션","빛나라☆진심의♥하트","9.84"
"45","안단테","트라우마극복로맨스","9.77"
"46","미세만화 주의보","저 세상 단편","9.67"
"47","봄이와","결혼도 처음 육아도 처음 초보부부의 육아분투기","9.63"
"48","오늘을 담다.","도시락 일상이야기","9.93"
"49","문지기","사라진 문지기","9.92"
"50","게으른 고양이의 soso한 카페이야기","카페운영일상툰","9.85"
"51","아틀레냐 (구)","구판","9.87"
"52","정령왕즈","정령왕들이 조잘조잘","9.87"
"53","오늘의 후기","매일 살아가는 후기","9.79"
"54","피노키오의 소녀","수상한 마을의 비밀","9.72"
"55","폭렬!! 극강초맹반","무협풍개그슈트액션","9.72"
"56","드림캡슐(Dream Capsule)","자유연재","9.89"
"57","그녀의 거리","그와 그녀의 거리","9.91"
"58","아이고아이고","삶과 죽음의 이야기","8.83"
"59","너의 여집합","네가 없는 세상","9.82"
"60","이상낙원","마법 학원 판타지","9.85"
"61","바닷속의 춘향","물고기도 사람인데","9.84"
"62","윈터하츠","연금술사들의 이야기","9.90"
"63","20&21세기남매","9살차남매일상툰!","9.57"
"64","오늘도 분홍했분홍","일상힐링툰","9.85"
"65","기행 공포단편집","공포만화 단편선","9.92"
"66","시간이 머문 집","수수께끼 판타지","9.94"
"67","애정이 필요해","불안장애 극복기","9.83"
"68","맛있는 남자","그 남자는 맛이난다","9.93"
"69","별정직 통신사","저승과 이승 외교부","9.71"
"70","세모와 동그라미","나보다외로운사람에게","9.86"
"71","왕과 그림자와 여자","자유연재입니다^^","9.79"
"72","BeYonD","꿈 여행기","9.83"
"73","엑소니클","퇴마사 소년만화","9.65"
"74","동글앤토실","18년 묵은 커플","9.88"
"75","50m","오십미터","9.54"
"76","몽글이","멍멍이가 학교가","9.74"
"77","오늘도 사랑하세요","인싸 큐피드 되기!","9.90"
"78","달란트","장애인의 초능력..","9.90"
"79","월국(月國)의 프락세이스","소년과 세계,스피릿","9.69"
"80","옆집에 그녀가 산다","옆집의 특별한그녀!","9.67"
"81","라면순대","30대의 웃긴 일상","9.73"
"82","스파이키 리스키","싱가폴 생활기","9.88"
"83","중독연구소","우리의 중독 이야기","9.58"
"84","PI(파이)","주라의 신화 이야기","9.75"
"85","하나(하루)","하나를 만났다.","9.74"
"86","스푸키 멜로디","악몽 동화 이야기","9.88"
"87","주작작 주주작","영짐승 배틀물","9.62"
"88","양지리정신병원","정신병원에 갇히다","9.29"
"89","여긴 어디","칭다오 일상툰","9.93"
"90","아틀레냐 비바체","중단","9.86"
"91","도원향","우주경찰서 도원향","9.89"
"92","매일 집밥 한그릇","셀프요리툰","9.89"
"93","나의 작은 여우별","소원의 여우별","9.93"
"94","그녀의 버킷리스트","죽기위해 이뤄가는","9.87"
"95","로어스쿨","액션 소년만화","9.89"
"96","나눠먹는 로맨스","음식&로맨스","9.72"
"97","혼자앤피스","인생은 혼자","9.79"
"98","함께 할 때까지","바카랑호두랑도마뱀","9.63"
"99","비김 어게인 IN한국 [캐나다에도 산다 시즌 2]","여여커플 일상툰","9.74"
"100","무지개다리 파수꾼","동물의 말이 들린다","9.74"
"101","다르디움","기계와 마법의 세계","9.87"
"102","안녕 외교국","SF 감성 판타지","9.54"
"103","마법사와 왕자님","로맨스 판타지","9.86"
"104","이웃집 기린씨!","개그힐링만화","9.91"
"105","SSAW","네 개의 계절","9.72"
"106","꼬맹이를 부탁해!","꼬맹이와의 일상!","9.92"
"107","사막화花","본격 식물 판타지","9.69"
"108","일요극장","아마도 일상 판타지","9.76"
"109","수상한 가족협정","우리가 누구게?","9.90"
"110","투마로홈","매일 다른곳?","9.18"
