"","x"
"1","역삼아레나빌딩"
"2","37.501087"
"3","127.043069"
"4","서울특별시 강남구 언주로 425 (역삼동)"
"5","02-568-3762"
"6","논현역사거리"
"7","37.510178"
"8","127.022223"
"9","서울특별시 강남구 강남대로 538 (논현동)"
"10","02-3442-3672"
"11","국기원사거리"
"12","37.499517"
"13","127.031495"
"14","서울특별시 강남구 테헤란로 125 (역삼동)"
"15","02-568-3668"
"16","대치대원빌딩R"
"17","37.494668"
"18","127.062583"
"19","서울특별시 강남구 남부순환로 2947 (대치동)"
"20","02-568-3704"
"21","삼성역섬유센터R"
"22","37.507750"
"23","127.060651"
"24","서울특별시 강남구 테헤란로 518 (대치동)"
"25","02-568-3648"
"26","압구정R"
"27","37.5273669"
"28","127.033061"
"29","서울특별시 강남구 언주로 861 (신사동)"
"30","02-541-3622"
"31","수서역R"
"32","37.488008"
"33","127.102650"
"34","서울특별시 강남구 광평로 281 (수서동)"
"35","02-6181-3688"
"36","양재강남빌딩R"
"37","37.485192"
"38","127.036685"
"39","서울특별시 강남구 남부순환로 2621 (도곡동)"
"40","02-571-3604"
"41","선릉동신빌딩R"
"42","37.505321"
"43","127.050409"
"44","서울특별시 강남구 테헤란로 409 (삼성동)"
"45","02-2051-3562"
"46","봉은사로선정릉"
"47","37.511293"
"48","127.048409"
"49","서울특별시 강남구 봉은사로 446 (삼성동)"
"50","02-539-3564"
"51","강남오거리"
"52","37.502117"
"53","127.026672"
"54","서울특별시 강남구 봉은사로2길 39 (역삼동)"
"55","02-557-3484"
"56","스타필드코엑스몰R"
"57","37.50999"
"58","127.061455"
"59","서울특별시 강남구 영동대로 513 (삼성동)"
"60","02-6002-3467"
"61","강남구청정문"
"62","37.518181"
"63","127.045995"
"64","서울특별시 강남구 학동로 419 (청담동)"
"65","02-514-3397"
"66","도곡공원"
"67","37.492805"
"68","127.041309"
"69","서울특별시 강남구 도곡로 205 (역삼동)"
"70","02-565-3496"
"71","강남R"
"72","37.497711"
"73","127.028439"
"74","서울특별시 강남구 강남대로 390 (역삼동)"
"75","02-561-3478"
"76","대치은마사거리"
"77","37.498973"
"78","127.060172"
"79","서울특별시 강남구 도곡로 457 (대치동)"
"80","02-554-3315"
"81","청담영동대로"
"82","37.522156"
"83","127.056449"
"84","서울특별시 강남구 영동대로 720 (청담동)"
"85","02-3443-3371"
"86","압구정"
"87","37.526283"
"88","127.029560"
"89","서울특별시 강남구 압구정로30길 17 (신사동)"
"90","02-541-3306"
"91","신사가로수"
"92","37.521852"
"93","127.022510"
"94","서울특별시 강남구 압구정로12길 32 (신사동)"
"95","02-3446-3356"
"96","청담스타R"
"97","37.525216"
"98","127.041827"
"99","서울특별시 강남구 도산대로57길 24 (청담동)"
"100","02-514-3364"
"101","강남우성"
"102","37.492396"
"103","127.030910"
"104","서울특별시 강남구 강남대로 328 (역삼동)"
"105","02-565-3347"
"106","학동사거리"
"107","37.52236449999999"
"108","127.03795430000002"
"109","서울특별시 강남구 도산대로 328 (논현동) HS빌딩"
"110","02-758-8971"
"111","대치사거리"
"112","37.503331"
"113","127.058817"
"114","서울특별시 강남구 삼성로 402 (대치동)"
"115","02-561-3287"
"116","포스코사거리"
"117","37.5075307"
"118","127.05742710000004"
"119","서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩"
"120","02-554-3235"
"121","을지병원사거리"
"122","37.5191632"
"123","127.0286446"
"124","서울특별시 강남구 논현로 752 (논현동,구산빌딩)"
"125","02-758-8896"
"126","신사역"
"127","37.5162021"
"128","127.0207428"
"129","서울특별시 강남구 도산대로 108 (논현동) 렉스타워"
"130","02-758-8848"
"131","도곡역"
"132","37.492167"
"133","127.057398"
"134","서울특별시 강남구 남부순환로 2909 (대치동)"
"135","02-758-8809"
"136","서울세관사거리"
"137","37.514887"
"138","127.035653"
"139","서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회"
"140","02-758-8798"
"141","청담사거리"
"142","37.5236351"
"143","127.04686509999999"
"144","서울특별시 강남구 도산대로 458 (청담동) 리츠타워"
"145","02-758-8726"
"146","한티역"
"147","37.496801"
"148","127.055055"
"149","서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)"
"150","02-758-8683"
"151","역삼초교사거리"
"152","37.4941059"
"153","127.03299730000003"
"154","서울특별시 강남구 역삼로 123 (역삼동)"
"155","02-758-8739"
"156","코엑스몰"
"157","37.511921"
"158","127.059024"
"159","서울특별시 강남구 영동대로 513 (삼성동) 코엑스"
"160","02-758-8733"
"161","가로수길"
"162","37.5231593"
"163","127.02162499999997"
"164","서울특별시 강남구 논현로175길 94, 1~2층 (신사동)"
"165","02-758-8661"
"166","역삼대로"
"167","37.501623"
"168","127.039375"
"169","서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)"
"170","02-758-8626"
"171","역삼포스코"
"172","37.499721"
"173","127.033582"
"174","서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)"
"175","02-758-8631"
"176","강남대로"
"177","37.50314"
"178","127.025546"
"179","서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)"
"180","02-758-8624"
"181","청담"
"182","37.5243631"
"183","127.05155990000003"
"184","서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)"
"185","02-758-8659"
"186","삼성도심공항"
"187","37.5097863"
"188","127.05791339999996"
"189","서울특별시 강남구 테헤란로87길 33 (삼성동)"
"190","02-758-8635"
"191","삼성교"
"192","37.507794"
"193","127.06517"
"194","서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 (대치동)"
"195","02-758-8592"
"196","학동역"
"197","37.51464884"
"198","127.0307302"
"199","서울특별시 강남구 논현로 704 (논현동)"
"200","02-758-8101"
"201","대치"
"202","37.49966175"
"203","127.0622171"
"204","서울특별시 강남구 도곡로 511 (대치동)"
"205","02-758-8063"
"206","기술센터"
"207","37.50329211"
"208","127.0436409"
"209","서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)"
"210","02-6009-3410"
"211","SSG마켓도곡R"
"212","37.490298"
"213","127.054895"
"214","서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)"
"215","02-2191-1219"
"216","삼성"
"217","37.50703529"
"218","127.0555503"
"219","서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)"
"220","02-758-8038"
"221","선릉세화빌딩"
"222","37.50377562"
"223","127.051196"
"224","서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동)"
"225","02-758-8028"
"226","압구정역"
"227","37.52674095"
"228","127.0281105"
"229","서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)"
"230","02-758-8013"
"231","압구정로"
"232","37.52680046"
"233","127.0347174"
"234","서울특별시 강남구 압구정로42길 32 (신사동)"
"235","02-758-8231"
"236","구역삼사거리"
"237","37.49592355"
"238","127.0388645"
"239","서울특별시 강남구 논현로 401 (역삼동)"
"240","02-758-8247"
"241","큰길타워"
"242","37.50236693"
"243","127.0407"
"244","서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)"
"245","02-758-8116"
"246","강남구청역"
"247","37.5165849"
"248","127.04124330000002"
"249","서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)"
"250","02-758-8119"
"251","대치역"
"252","37.493554"
"253","127.061874"
"254","서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)"
"255","02-758-8120"
"256","포이"
