"","tech_name","info_count"
"1","#개발","9"
"2","#데이터분석","6"
"3","#연구","6"
"4","#IT","4"
"5","#인공지능","4"
"6","#금융","2"
"7","#영상처리","2"
"8","#교육","2"
"9","#연구개발","2"
"10","#검색엔진","2"
"11","#유지보수","2"
"12","#기획","2"
"13","#클라우드","2"
"14","#보안","2"
"15","#3D","2"
"16","#빅데이터분석","2"
"17","#빅데이터","2"
"18","#프론트엔드","2"
"19","#백엔드","2"
"20","#iOS","2"
"21","#머신러닝","2"
"22","#마케팅","2"
"23","#시장조사","2"
"24","#머신비전","2"
"25","#DBA","2"
"26","#솔루션","2"
"27","#App","2"
"28","#신재생","1"
"29","#상품기획","1"
"30","#안드로이드","1"
