"","comicName","comicSummary","comicGrade"
"1","A - STUDENT(모범생)","사악한 본성","9.83"
"2","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"3","홈 스윗 홈","네식구 사는 이야기","9.85"
"4","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"5","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"6","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"7","선선한 이야기","프리랜선선","9.68"
"8","일상견문록","다른나라 일상이야기","9.85"
"9","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"10","카나와 초나의 독일","독일 유학 생존기","9.89"
"11","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"12","다 이아리","데이트폭력에 관하여","9.84"
"13","식인귀","괴물이 보인다","9.77"
"14","저승파견고용직","기묘한 만화","9.92"
"15","검은 늑대","검은 늑대","9.87"
"16","제목이 7080 만화","7080 이야기","9.90"
"17","하루와 모레","일상 이야기 :)","9.68"
"18","올어바웃 You","봉카의 외노자인생","9.87"
"19","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"20","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"21","외국 in 한국","영국인의한국생활","9.87"
"22","중딩툰","중딩이 그리는 웹툰","9.46"
"23","파리스의 선택","그리스 신화 회귀물","9.93"
"24","아옹아옹","두식이 냥육일기","9.92"
"25","A - STUDENT(모범생)","사악한 본성","9.83"
"26","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"27","홈 스윗 홈","네식구 사는 이야기","9.85"
"28","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"29","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"30","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"31","선선한 이야기","프리랜선선","9.68"
"32","일상견문록","다른나라 일상이야기","9.85"
"33","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"34","카나와 초나의 독일","독일 유학 생존기","9.89"
"35","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"36","다 이아리","데이트폭력에 관하여","9.84"
"37","식인귀","괴물이 보인다","9.77"
"38","저승파견고용직","기묘한 만화","9.92"
"39","검은 늑대","검은 늑대","9.87"
"40","제목이 7080 만화","7080 이야기","9.90"
"41","하루와 모레","일상 이야기 :)","9.68"
"42","올어바웃 You","봉카의 외노자인생","9.87"
"43","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"44","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"45","외국 in 한국","영국인의한국생활","9.87"
"46","중딩툰","중딩이 그리는 웹툰","9.46"
"47","파리스의 선택","그리스 신화 회귀물","9.93"
"48","아옹아옹","두식이 냥육일기","9.92"
"49","A - STUDENT(모범생)","사악한 본성","9.83"
"50","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"51","홈 스윗 홈","네식구 사는 이야기","9.85"
"52","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
