"","title","review"
"1","82년생 김지영","되게 스릴 있고...코미디도 적당히 들어간 재미있는 느낌이었습니다"
"2","람보 : 라스트 워","코미디인데 별 재미는 없네; 쫄깃한 장면 좀 있는 재난액션물"
"3","사자","대박대박 재밌어요"
"4","쥬라기 월드: 폴른 킹덤","유치한 대사로 웃겨볼려는 3류 코미디재난 영화."
"5","스윗 프랑세즈",""
"6","남과 여",""
"7","죄 많은 소녀","exit, excite, exist!"
"8","라이온 킹",""
"9","82년생 김지영","따따따 따-따-따 따따따"
"10","82년생 김지영","중간에 개연성이 좀 뛰는거 빼곤 재밌었음"
"11","82년생 김지영",""
"12","람보 : 라스트 워","천만가자"
"13","사자","기대 안하고 봤는데, 진짜 재미있게 봤다.야나두 조정석에서 엑시트 조정석으로 바뀜."
"14","쥬라기 월드: 폴른 킹덤","이영화벌써4번봄ㄷㄷ개꿀재"
"15","스윗 프랑세즈","유치, 황당....두 주연 배우의 소꿉장난 같은 연기는 귀엽긔....ㅋ ㅋ"
"16","남과 여","외국영화에서는  가족이야기가 나왔는데  미세먼지가  지상을 덮는다는  내용의 영화가 있었죠"
"17","죄 많은 소녀","설정 비유 재미!"
"18","라이온 킹","도대체  어디에서  웃어야 하지?처음부터 끝까지 한번도 안웃은 코미디영화는 처음이네"
"19","82년생 김지영","잘 찍었네요,  영화 전체가 긴장감이 쭉 이어지네요"
"20","82년생 김지영","산악부라는게 큰 포인트인데, 하강을 못하는 설정이라 보여줄거리의 절반이 날아감.달리기로만 때운장면도 그렇고 후반부가 좀 아쉬웠음."
"21","82년생 김지영","시간이 훅 가네요 ㅋㅋㅋ 굳굳굳 ㅋㅋㅋㅋ"
"22","람보 : 라스트 워",""
"23","사자","잼있게 봣는데.......결국 ...천만은 못넘네....................딱 목에 걸렸네...."
"24","쥬라기 월드: 폴른 킹덤","한국영화 수준 참........"
"25","스윗 프랑세즈","100분동안 고문 받았다 유치해서 손발이 오글거리는 상태로 끝까지 보는게 마치 고문같았다"
"26","남과 여","ㄷ"
"27","죄 많은 소녀","진짜 대박ㅜㅜㅜ 개잼잇음 개인적으로 진짜 내취향저격,, 평범한 재난영화에서 나오는 해병대 군인 근육짱짱맨이 안나오는 설정이라 더 현실성있고 재밌었음 강추합니다"
"28","라이온 킹","뻔한 스토리라도 볼만함 조정석 구여움은 만점 ㅋ"
"29","82년생 김지영","재미와 유머가 극한 재난 상황과 잘 버무려진 흥미진진한 장면들로 가득찼네요 몰입도 최강이었습니다!"
"30","82년생 김지영","한국식 고공 액션물의 승리.충무로도 하면 되네?ㅋㅋㅋㅋㅋㅋ"
"31","82년생 김지영","노력은 열심히 했다. 그런데런닝타임내내 빠져들어 보는게아니라 그냥 빨리보기로 다음이 어찌되는지 궁금한정도 였음.  대충만든건 아닌데, 그렇다고 시나리오가 아주 꼼꼼하진 않았고, 여기저기 신경써서 유튜버들과 드론을 등장시키는등 애쓴흔적은 보이나 수작이라 말하기도 뭐한..킬링타임용 영화정도.."
"32","람보 : 라스트 워","그냥 윤아가 이뻐서 3점은 준다"
"33","사자","강추합니다.청년여러분, 모두 힘내세요.유독가스, 고층빌딩, 외줄타기 등등여러분이 처해있는 어려운 상황을 잘 묘사했더군요."
"34","쥬라기 월드: 폴른 킹덤","초반에 약간 긴장감 있었지만, 뒤로 갈수록 줄타기와 벽타기의 반복에 긴장감이 떨어진다. 뻔한 전개와 분위기로 인해 어차피 주인공들을 살 것 같아서 그렇기도 하고."
"35","스윗 프랑세즈","나만 당할 수 없다.초딩들 재관람을 얼마나 했길래 이게 900만을 넘어저학년용 ebs  영화."
"36","남과 여","큰 기대는 안했는데 재밌네요^^스토리보다는 조정석과 윤아의 위기탈출 과정이 흥미진진하고 볼만했습니다."
"37","죄 많은 소녀","노잼"
"38","라이온 킹","아니 어떻게 이런 유치찬란힌 영화가 9백만?믿기지가 않네어~휴 극한직업 발톱의 때만도 못한 닭살 돋는 망작"
"39","82년생 김지영","드뎌 나왔구나 .저는 이영화 울향림이랑 볼꺼에요^^♡근데 언제 보게될줄 자알 모르겠네요ㅠㅠ   울 향림이 사랑한다 ^^♡죽어서도 사랑할꺼다^^♡"
"40","82년생 김지영","유치하고 억지로 웃기려고하고 오버하고 윤아는 재난영화에 어울리지 않음. 그리고 재난영화인데 긴장 하나도 안듬. 스토리가 중학생 수준"
"41","82년생 김지영","간만에 아주 재밌게 봤어요. 이 정도면 만점 주고 싶네요."
"42","람보 : 라스트 워","한국 재난영화중 가장 최고라고 생각합니다과장되지  않은 인간미  물씬 풍기는 영화영화 평점 처음 올려봅니다"
"43","사자","와 이런 영화를 900백만명이나 보러 갔나?진짜 하류 영화같다..이해가 안된다너무너무너무너무너무너무너무 퀼리티가 떨어지고 재미도 없고 진짜 솔직한 후기다 ㄷㄷ"
"44","쥬라기 월드: 폴른 킹덤","이걸 900만이 봤다고???쓸데없는 군더더기 없이 액기스만 보여준 영화엔 박수조정석의 투머치한 연기는 언제쯤 조정될려나연기자 윤아로는 충분히 박수우왕좌왕 쓸데없는 소란만을 유발한 가족들로 감독은 멀보여주자는건지.도대체 이런 영화에 백수청년의 비애를 꼽싸리 끼우며 호들갑떤 언론의 투머치는 누가 조정해주나..."
"45","스윗 프랑세즈","별점 4개이상 준 사람들은 관계자 아니면 유치한 영화 좋아하는 사람인가??????????쇼하고 자빠젔네...이런 영화가 별 4개이상이면 미국 헐리웃 영화는 별 100개냐.."
"46","남과 여","솔직히 900만 영화까지는 아니지만, 이 정도면 꽤 괜찮다고 봄. 조정석은 진짜 매력만점의 배우인거 같다. 매 영화마다 좀 다른 느낌이지만, 그 역할 소화를 진짜 잘함. 윤아도 생각보다 코미디 연기에 잘 어울리네요. 진짜 잘 뜀..ㅋ 제작비 안들이고 이정도면 진짜 잘 만든거임."
"47","죄 많은 소녀","클라이밍 배워보고 싶게 만들었어요!!! 끝부분에 드론 나와서...드론으로 중학생들 가르치는 입장에서 수업자료로  참고해서 이야기할수 있을듯...충분히 가능한거라서 재밌게 봤네요~^^"
"48","라이온 킹","0점이 안눌려요"
"49","82년생 김지영","윤아 울상에서 이미 10점"
"50","82년생 김지영","마지막 드론 장면이 너무 말이 안되었지만 전체적으로 보면 이정도면 한국에서 만든 재난 영화치곤 수작으로 들갈듯"
"51","82년생 김지영","잼나고 손에 땀나게 봤네요ㅋㅋㅋ 따따~ 따따따~ ㅋㅋㅋ"
"52","람보 : 라스트 워",""
"53","사자","짱구 극장판 각본을 실사영화로 가져왔다따 따 따따따...ㅋㅋㅋ어린이용 애니메이션에나 나올법"
"54","쥬라기 월드: 폴른 킹덤",""
"55","스윗 프랑세즈","재미는 있는데 스릴감은 별로 조정석은 뭐 당연 연기 쩌는데 윤아도 생각보다 연기 잘 하네ㅋㅋ"
"56","남과 여","재난이라는 소재를 보다 가볍고 일상적으로 담아내서 좋은 것 같아요 제 곁에서도 이런 일이 일어날 수 있을 것같다는 생각이 들어 현실감이 올랐어요! 물론 탈출 방법은 그렇지 않지만~^^ 조정석씨도 윤아씨도 연기가 부자연스럽지 않아 더 재밌어요~ 천 만의  벽은 못 넘은 것같지만 940만 이상의 사람들에게 따따따 따 따 따 따따따를 남기는 데에는 성공!^^"
"57","죄 많은 소녀","어 쫌 무겁긴 하네."
"58","라이온 킹","올 한국영화중 가장 재미있게 봐습니다. 최고의 명대사 ' 따따따 따따따 따따따따 따따' ~"
"59","82년생 김지영","가볍게봤는데  역시 조정석씨의 코믹연기는 일품   재밌게 보기도했고 유독가스사고 위험성도 알게된영화"
"60","82년생 김지영","손에 땀을 쥐고 봤어요. 너무 재미있었음!"
"61","82년생 김지영","완죤 꿀잼  ~~"
"62","람보 : 라스트 워","따따따 따 따 따 따따따 인데.. 밑에 0점 1점 평점들은 영화 보기나 하신건지.. 딱 기획했던 만큼은 모두 다 보여 준 영화. 길이 남을 명작은 아니더라도 즐겁게 볼 수 있는 영화. 전 좋았습니다."
"63","사자","ㅎㅎ 쇼한다는 소리가 절로 나오네,ㅋ900만이 넘었다니...훗 알다가도 모를 관객수"
"64","쥬라기 월드: 폴른 킹덤","올해의 명대사.. 따 따 따따따 따따따따따...하아....진짜 900만 실화냐? 아방 BJ 나왔을때 너무 크게 웃었다 어이없어서"
"65","스윗 프랑세즈","따 따 따따따 따따따따따. 참 우리 한국 사람들이 참 문화생활거리가 없긴 없다. 이런 영화가 900만원을 보다니. 참. 어이가 없더라. 반면에 9백만을 넘겼어야할 봉오동 전투는 기껏 400만."
"66","남과 여",""
"67","죄 많은 소녀",""
"68","라이온 킹","꿀잼"
"69","82년생 김지영","재밌다"
