"","title","review"
"1","10","신기하다이 영화 지금껏 네번 봤는데도자꾸 장면 생각나고 여운이 길어 또 보고 싶음.이번 주에 또 보러가게 될 것 같다.올해 내가 가장 극장에서 많이 본 영화.예술 영화로서 정말 잘 만들었다 호아킨 피닉스의 아서일때 연기와조커로 바뀌었을때 연기가 자꾸 생각난다"
"2","10","5일 지나도 문득 생각나는 영화는 걸작이랬는데.. 1주일 지나도 계속 생각난다."
"3","10","코믹스 영화는 믿고 거르는데이 영화는 다르다.2019년 최고의 영화가 아닌가싶다"
"4","9",""
"5","10","좋아요"
"6","10",""
"7","0","네이버는 1점부터 줄수 잇는데 0점을 줄수 잇어서 행복! 오늘 좋은 하루입니다."
"8","9","뭐 하나 나무랄데 없는 완벽에 가까운 영화진한 슬픔이 다가오는 현실, 결국은 환경이 나를지배해 버린 , 발버둥 치는 인간군상의 고담시"
"9","10","완벽한영화음악,춤,연출,연기까지,  편견없이보려고 아무정보없이밨어요.  근래 최고의영화라고 단언합니다."
"10","9","현시대의 문제점을 통찰하고 우리의 마음 속을 꿰뚫어 보는 혜안이 있는 영화."
"11","1","응 1점"
"12","10","단지 조커의 과거라기보단 크게 봤을때 빈부격차에 대한 사회비판을 역설적으로 다룬 영화를 범죄미화로 보시는 분들도 참... 보는 눈 없으십니다영화를 영화로 보셔야지 현실로 보시다니요 호아킨이 연기한 노력이 아깝습니다 그러신 분들은  안 보셔도 되요"
"13","1","흠,,, 배우가 문제있는 사람이라 그런가 보는내내 찝찝하기만,,,, 이게 왜 인기 많은지 몰으겠음,,, 자기랑 비슷하다고 느끼는 사람들이 글케 많나 싶고,,,"
"14","1","찌질했음"
"15","1","최악.."
"16","1","걍 찌질한데 여기에 감정이입 된다고 극찬하는 남자들은 똑같이 ㅎㅌㅊ인건가 ㅎ;;"
"17","10","..."
"18","7","사실적이네."
"19","1","범죄미화. 가해자의 자기변명."
"20","1","왜 남자들이 좋아하는지 모를 영화. 자기랑 감정이입이 된다나 뭐라나...감정이입 할빠에 차라리 다른거에 해...너네 조커 아니니까..."
"21","10","친구가 보자해서 뻔한 영화 볼 거 없어 선택했는줄..영화 대박!!!연기 소름!!"
"22","9","올해 최고의 영화!!! 다크 나이트를 지웠다."
"23","10","연기하나만으로도 10점이다"
"24","9","결코 영웅은 아닌, 자신을 외면한 사회를 본인이 등지게 되는 슬픈 영화"
"25","10","폭력을 정당화할 수는 없다.그러나 우리는 폭력이 나타나게 되는 구조를 알아야한다.왜 많은 광대들이 조커에 열광하는가"
"26","7","나에겐 너무 어려운 영화였음."
"27","10","조커가 되는 것이 너무나 이해되고 공감되어서 마음이 무거웠습니다. 연기에 광기없이 너무나 자연스러웠습니다. 감사한 영화입니다"
"28","7","호아킨 피닉스의 연기는 그야말로 더할나위없었지만..그래도 폭력은 나쁘다...범죄는 그 무엇으로도 미화될수없다...."
"29","9","어쩔수 없이 조커가 됐구나~~!!..이해한다.."
"30","8","힘들어  감정이입  너무되서  두번은  못  보겠다"
"31","10","신기하다이 영화 지금껏 네번 봤는데도자꾸 장면 생각나고 여운이 길어 또 보고 싶음.이번 주에 또 보러가게 될 것 같다.올해 내가 가장 극장에서 많이 본 영화.예술 영화로서 정말 잘 만들었다 호아킨 피닉스의 아서일때 연기와조커로 바뀌었을때 연기가 자꾸 생각난다"
"32","10","5일 지나도 문득 생각나는 영화는 걸작이랬는데.. 1주일 지나도 계속 생각난다."
"33","10","코믹스 영화는 믿고 거르는데이 영화는 다르다.2019년 최고의 영화가 아닌가싶다"
"34","9",""
"35","10","좋아요"
"36","10",""
"37","0","네이버는 1점부터 줄수 잇는데 0점을 줄수 잇어서 행복! 오늘 좋은 하루입니다."
"38","9","뭐 하나 나무랄데 없는 완벽에 가까운 영화진한 슬픔이 다가오는 현실, 결국은 환경이 나를지배해 버린 , 발버둥 치는 인간군상의 고담시"
"39","10","완벽한영화음악,춤,연출,연기까지,  편견없이보려고 아무정보없이밨어요.  근래 최고의영화라고 단언합니다."
"40","9","현시대의 문제점을 통찰하고 우리의 마음 속을 꿰뚫어 보는 혜안이 있는 영화."
"41","10","신기하다이 영화 지금껏 네번 봤는데도자꾸 장면 생각나고 여운이 길어 또 보고 싶음.이번 주에 또 보러가게 될 것 같다.올해 내가 가장 극장에서 많이 본 영화.예술 영화로서 정말 잘 만들었다 호아킨 피닉스의 아서일때 연기와조커로 바뀌었을때 연기가 자꾸 생각난다"
"42","10","5일 지나도 문득 생각나는 영화는 걸작이랬는데.. 1주일 지나도 계속 생각난다."
"43","10","코믹스 영화는 믿고 거르는데이 영화는 다르다.2019년 최고의 영화가 아닌가싶다"
"44","9",""
"45","10","좋아요"
"46","10",""
"47","0","네이버는 1점부터 줄수 잇는데 0점을 줄수 잇어서 행복! 오늘 좋은 하루입니다."
"48","9","뭐 하나 나무랄데 없는 완벽에 가까운 영화진한 슬픔이 다가오는 현실, 결국은 환경이 나를지배해 버린 , 발버둥 치는 인간군상의 고담시"
"49","10","완벽한영화음악,춤,연출,연기까지,  편견없이보려고 아무정보없이밨어요.  근래 최고의영화라고 단언합니다."
"50","9","현시대의 문제점을 통찰하고 우리의 마음 속을 꿰뚫어 보는 혜안이 있는 영화."
"51","10","신기하다이 영화 지금껏 네번 봤는데도자꾸 장면 생각나고 여운이 길어 또 보고 싶음.이번 주에 또 보러가게 될 것 같다.올해 내가 가장 극장에서 많이 본 영화.예술 영화로서 정말 잘 만들었다 호아킨 피닉스의 아서일때 연기와조커로 바뀌었을때 연기가 자꾸 생각난다"
"52","10","5일 지나도 문득 생각나는 영화는 걸작이랬는데.. 1주일 지나도 계속 생각난다."
"53","10","코믹스 영화는 믿고 거르는데이 영화는 다르다.2019년 최고의 영화가 아닌가싶다"
"54","9",""
"55","10","좋아요"
"56","10",""
"57","0","네이버는 1점부터 줄수 잇는데 0점을 줄수 잇어서 행복! 오늘 좋은 하루입니다."
"58","9","뭐 하나 나무랄데 없는 완벽에 가까운 영화진한 슬픔이 다가오는 현실, 결국은 환경이 나를지배해 버린 , 발버둥 치는 인간군상의 고담시"
"59","10","완벽한영화음악,춤,연출,연기까지,  편견없이보려고 아무정보없이밨어요.  근래 최고의영화라고 단언합니다."
"60","9","현시대의 문제점을 통찰하고 우리의 마음 속을 꿰뚫어 보는 혜안이 있는 영화."
"61","10","신기하다이 영화 지금껏 네번 봤는데도자꾸 장면 생각나고 여운이 길어 또 보고 싶음.이번 주에 또 보러가게 될 것 같다.올해 내가 가장 극장에서 많이 본 영화.예술 영화로서 정말 잘 만들었다 호아킨 피닉스의 아서일때 연기와조커로 바뀌었을때 연기가 자꾸 생각난다"
"62","10","5일 지나도 문득 생각나는 영화는 걸작이랬는데.. 1주일 지나도 계속 생각난다."
"63","10","코믹스 영화는 믿고 거르는데이 영화는 다르다.2019년 최고의 영화가 아닌가싶다"
"64","9",""
"65","10","좋아요"
"66","10",""
"67","0","네이버는 1점부터 줄수 잇는데 0점을 줄수 잇어서 행복! 오늘 좋은 하루입니다."
"68","9","뭐 하나 나무랄데 없는 완벽에 가까운 영화진한 슬픔이 다가오는 현실, 결국은 환경이 나를지배해 버린 , 발버둥 치는 인간군상의 고담시"
"69","10","완벽한영화음악,춤,연출,연기까지,  편견없이보려고 아무정보없이밨어요.  근래 최고의영화라고 단언합니다."
"70","9","현시대의 문제점을 통찰하고 우리의 마음 속을 꿰뚫어 보는 혜안이 있는 영화."
"71","10","신기하다이 영화 지금껏 네번 봤는데도자꾸 장면 생각나고 여운이 길어 또 보고 싶음.이번 주에 또 보러가게 될 것 같다.올해 내가 가장 극장에서 많이 본 영화.예술 영화로서 정말 잘 만들었다 호아킨 피닉스의 아서일때 연기와조커로 바뀌었을때 연기가 자꾸 생각난다"
"72","10","5일 지나도 문득 생각나는 영화는 걸작이랬는데.. 1주일 지나도 계속 생각난다."
"73","10","코믹스 영화는 믿고 거르는데이 영화는 다르다.2019년 최고의 영화가 아닌가싶다"
"74","9",""
"75","10","좋아요"
"76","10",""
"77","0","네이버는 1점부터 줄수 잇는데 0점을 줄수 잇어서 행복! 오늘 좋은 하루입니다."
"78","9","뭐 하나 나무랄데 없는 완벽에 가까운 영화진한 슬픔이 다가오는 현실, 결국은 환경이 나를지배해 버린 , 발버둥 치는 인간군상의 고담시"
