"","평점","리뷰"
"1","10","올드보이의최민식뺨칠정도의연기다.10/10"
"2","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"3","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"4","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"5","9",""
"6","10","좋아요"
"7","10",""
"8","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"9","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"10","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"11","10","올드보이의최민식뺨칠정도의연기다.10/10"
"12","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"13","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"14","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"15","9",""
"16","10","좋아요"
"17","10",""
"18","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"19","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"20","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"21","10","올드보이의최민식뺨칠정도의연기다.10/10"
"22","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"23","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"24","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"25","9",""
"26","10","좋아요"
"27","10",""
"28","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"29","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"30","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"31","10","올드보이의최민식뺨칠정도의연기다.10/10"
"32","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"33","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"34","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"35","9",""
"36","10","좋아요"
"37","10",""
"38","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"39","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"40","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"41","10","올드보이의최민식뺨칠정도의연기다.10/10"
"42","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"43","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"44","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"45","9",""
"46","10","좋아요"
"47","10",""
"48","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"49","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
