"","newstitle","newspapername"
"1","9급 공무원 합격 55세 김의천씨 ""버스기사 일하며 인강 들어""","서울경제"
"2","[단독] 조국·문재인 비판했다고 맘카페서 '강퇴'.. 운영진 상대 집단소송 낸다","세계일보"
"3","정의당 ""나경원 연설, 시작부터 헛웃음..反촛불 퇴행 선포문""","뉴시스"
"4","낙태 중 아기 울음 터졌는데..숨지게 한 의사 구속","연합뉴스"
"5","""나 비정규직이었어?"" 정규직 착각한 50만명 드러났다","머니투데이"
"6","[단독]대구서 아빠에게 훈계받다 뇌사 상태 빠진 3세 아동 끝내 사망","조선일보"
"7","""알바그다디 속옷으로 미리 신원 확인..쿠르드 요원이 확보""(종합)","연합뉴스"
"8","김정은이 ""남루하다"" 한 금강산 관광시설, 곳곳에 녹슬고 곰팡이","연합뉴스"
"9","日포토레지스트 업체들 ""韓수출규제 큰 영향없어..계속 수출""","뉴시스"
"10","애인 자살 부추긴 한인 여대생 국내 도피..美 검찰 기소","서울신문"
"11","대검 ""나경원 악플 수사상황 보고하라""..일선청 지시","뉴시스"
"12","[오피셜]'역대 최고 대우' 두산 김태형 감독, 3년 28억원에 재계약","스포츠조선"
"13","나경원 대표연설에 여야 4당 '혹평' vs 한국당 ""투쟁 다짐""(종합)","뉴스1"
"14","文의장, 정기국회 파행 막고자 부의 연기한 듯..""고뇌의 결단""","연합뉴스"
"15","한국도로공사 ""JTBC보도는 허위사실, 정정보도 요청할 것""","뉴스1"
"16","日 태풍 하기비스 피해액 '눈덩이'..폐기물 포화상태","연합뉴스"
"17","광주·전남, 국비 확보 '비상'..'한국당 제동'에 정치권 반발(종합)","뉴시스"
"18","""돌아가면 죽는다"" 미스 이란 출신 여성, 필리핀 망명 요청","한국일보"
"19","""지갑 잃어버려, 차비 좀 빌려줘"" 젊은층 노린 '소액 사기' 주의보","아시아경제"
"20","MLB 사무국, WS 5차전서 가슴 노출한 여성 '영구 출입금지'","연합뉴스"
"21","타일러 일침, '82년생 김지영' 논란에 ""공감 안돼""('김현정의 쎈터뷰')","스타투데이"
"22","[단독] 북한 축구가 또.. 12월 부산 동아시안컵 돌연 불참","뉴스1"
"23","'학위 장사' 폭로한 교수의 죽음, 대학의 '적반하장'","오마이뉴스"
"24","'잃어버린 2년반' 나경원연설에 與 ""적반하장"", 바른미래 ""독선""","연합뉴스"
"25","""치과임플란트 싸져서 좋긴 한데""..소비자불만 매년 58%씩 증가","뉴스1"
"26","中 군용기, 핫라인으로 첫 통보후 이어도 KADIZ 진입(종합)","연합뉴스"
"27","친아들을 강도로 착각하고 총 쏜 美 경찰..또 오인 사격","서울신문"
"28","인도 땅속 구멍 빠진 아이 구출 너무 늦었다..사망 확인","연합뉴스"
"29","미얀마군, 로힝야족 남성 조직적 성폭력..피해자 ""수치심에 말도 못해""","서울신문"
"30","샤오미 CEO ""1억 화소 카메라로 얼굴 촬영하니..""","지디넷코리아"
"31","""진짜 좋은 직장의 조건"" 나왔다..'건강한 일자리 가이드' 발표","뉴스1"
"32","""2020년, 손흥민은 리버풀로"".. 팬들 외침 주목한 英 언론","베스트일레븐"
"33","허문회 롯데 감독 부임 알았던 이동욱 NC 감독 ""롯데의 좋은 선택""","스포츠경향"
"34","평양 다녀온 한국역도, ""남남 같았다, 입국수속 때 라면 압수""","중앙일보"
"35","IS 새 지도자 카르다시는 누구?..'교수''파괴자'로 불려","뉴스1"
"36","""남자 없게 생겼네"" 악플 범인 잡고보니 ""두 딸 아빠입니다""","중앙일보"
"37","인도네시아, 니켈 원광 수출 즉시 중단 결정..""직접 제련""","연합뉴스"
"38","김정태 ""특정 후보 유세? 아이와 산책하다 사진찍힌 것"" 해명[결정적장면]","뉴스엔"
"39","미성년 포함 수십명과 성관계 뒤 동영상 6천개 유포 40대, 2심도 중형","뉴스1"
"40","[영상] '접촉사고 시비' 볼썽사나운 나스카 경주대회 망신","KBS"
"41","성관계 사진·영상 수천개 유포한 40대, 2심서 징역 9년","연합뉴스"
"42","지숙 측 ""이두희와 열애 맞아, 최근 교제 시작..아직 조심스러워"" [공식입장]","마이데일리"
"43","[포토]'BTS' 서울 파이널 콘서트 방문하는 방시혁","일간스포츠"
"44","""전 국민 월 30만원 기본소득 지급.. 2년 안에 가능하다""","한국일보"
"45","배추 가격은 '金'인데 품질은 '물'..김장 '초난감'","이데일리"
"46","[J가 타봤습니다] 아우디 신형 A6, 옆차 다가오니 사이드미러 점멸","중앙일보"
"47","승객이 두고내린 1억2천만원 돌려준 서울 택시기사","뉴스1"
"48","군인권센터 ""검찰, 기무사 계엄령 문건 작성 의혹 은폐했다""","뉴스1"
"49","""애매한 손동작""..남학생 성기 만지려한 혐의 학교경비원 무죄","뉴스1"
"50","'80세 한식 대가' 심영순도 바꿔놓았다..""'당나귀 귀' 출연 만족"" [엑's 현장]","엑스포츠뉴스"
