"","newspapername","newstitle"
"1","서울경제","9급 공무원 합격 55세 김의천씨 ""버스기사 일하며 인강 들어"""
"2","연합뉴스","낙태 중 아기 울음 터졌는데..숨지게 한 의사 구속"
"3","뉴시스","정의당 ""나경원 연설, 시작부터 헛웃음..反촛불 퇴행 선포문"""
"4","세계일보","[단독] 조국·문재인 비판했다고 맘카페서 '강퇴'.. 운영진 상대 집단소송 낸다"
"5","머니투데이","""나 비정규직이었어?"" 정규직 착각한 50만명 드러났다"
"6","뉴스1","나경원 대표연설에 여야 4당 '혹평' vs 한국당 ""투쟁 다짐""(종합)"
"7","한국일보","""돌아가면 죽는다"" 미스 이란 출신 여성, 필리핀 망명 요청"
"8","뉴시스","日포토레지스트 업체들 ""韓수출규제 큰 영향없어..계속 수출"""
"9","서울신문","애인 자살 부추긴 한인 여대생 국내 도피..美 검찰 기소"
"10","연합뉴스","文의장, 정기국회 파행 막고자 부의 연기한 듯..""고뇌의 결단"""
"11","뉴스1","승객이 두고내린 1억2천만원 돌려준 서울 택시기사"
"12","연합뉴스","MLB 사무국, WS 5차전서 가슴 노출한 여성 '영구 출입금지'"
"13","뉴시스","대검 ""나경원 악플 수사상황 보고하라""..일선청 지시"
"14","뉴스1","집창촌은 떠나고 쓰레기만 쌓여가는 해운대..시민 눈쌀"
"15","뉴스1","""애매한 손동작""..남학생 성기 만지려한 혐의 학교경비원 무죄"
"16","연합뉴스","""알바그다디 속옷으로 미리 신원 확인..쿠르드 요원이 확보""(종합)"
"17","뉴스엔","김정태 ""특정 후보 유세? 아이와 산책하다 사진찍힌 것"" 해명[결정적장면]"
"18","오마이뉴스","'학위 장사' 폭로한 교수의 죽음, 대학의 '적반하장'"
"19","뉴스1","""치과임플란트 싸져서 좋긴 한데""..소비자불만 매년 58%씩 증가"
"20","뉴시스","광주·전남, 국비 확보 '비상'..'한국당 제동'에 정치권 반발(종합)"
"21","스타투데이","타일러 일침, '82년생 김지영' 논란에 ""공감 안돼""('김현정의 쎈터뷰')"
"22","지디넷코리아","샤오미 CEO ""1억 화소 카메라로 얼굴 촬영하니.."""
"23","뉴스1","한국도로공사 ""JTBC보도는 허위사실, 정정보도 요청할 것"""
"24","스포츠투데이","[단독] 지숙, 기업인 이두희와 핑크빛 열애 ""진지한 만남 中"""
"25","서울신문","미얀마군, 로힝야족 남성 조직적 성폭력..피해자 ""수치심에 말도 못해"""
"26","서울신문","친아들을 강도로 착각하고 총 쏜 美 경찰..또 오인 사격"
"27","연합뉴스","인도 땅속 구멍 빠진 아이 구출 너무 늦었다..사망 확인"
"28","뉴스1","""진짜 좋은 직장의 조건"" 나왔다..'건강한 일자리 가이드' 발표"
"29","연합뉴스","전국이 멧돼지 공포..서식지 밀려난 개체들 곳곳에서 출몰"
"30","마이데일리","지숙 측 ""이두희와 열애 맞아, 최근 교제 시작..아직 조심스러워"" [공식입장]"
"31","중앙일보","""남자 없게 생겼네"" 악플 범인 잡고보니 ""두 딸 아빠입니다"""
"32","중앙일보","평양 다녀온 한국역도, ""남남 같았다, 입국수속 때 라면 압수"""
"33","뉴스1","군인권센터 ""검찰, 기무사 계엄령 문건 작성 의혹 은폐했다"""
"34","연합뉴스","인도네시아, 니켈 원광 수출 즉시 중단 결정..""직접 제련"""
"35","스포츠조선","[SC리뷰]""심장 터질뻔""..'동상이몽2' 강남♥이상화, 감동 결혼식→이벤트 위기"
"36","뉴스1","IS 새 지도자 카르다시는 누구?..'교수파괴자'로 불려"
"37","연합뉴스","""깎아달라 했는데 무시당했다""..중고거래 상대 여성 살해(종합)"
"38","스포츠조선","[오피셜]'역대 최고 대우' 두산 김태형 감독, 3년 28억원에 재계약"
"39","연합뉴스","中 군용기, 핫라인으로 첫 통보후 이어도 KADIZ 진입(종합)"
"40","연합뉴스","재개발로 나온 임대주택 전량 공공부문이 인수 추진"
"41","스포츠조선","[단독]'솔로 컴백' 슈 심경고백 ""1년전 실수 반성..세 아이 母로서 용기냈다"""
"42","지디넷코리아","허블 우주망원경, 할로윈데이 맞아 소름 끼치는 '우주 얼굴' 공개"
"43","KBS","[영상] '접촉사고 시비' 볼썽사나운 나스카 경주대회 망신"
"44","연합뉴스","배영수 ""미련 없이 은퇴합니다..가장 배영수다운 선택"""
"45","스포츠경향","허문회 롯데 감독 부임 알았던 이동욱 NC 감독 ""롯데의 좋은 선택"""
"46","시사IN","'빈집'에 울려 퍼지는 지방도시의 신음"
"47","뉴스1","조종사가 기내 화장실 몰카 설치 '실시간 시청'"
"48","뉴스1","[단독] 북한 축구가 또.. 12월 부산 동아시안컵 돌연 불참"
"49","한국일보","""전 국민 월 30만원 기본소득 지급.. 2년 안에 가능하다"""
"50","뉴스엔","'아내의 맛' 함소원, 中 진화 부모 합가 선언에 멘붕[오늘TV]"
