기간	자치구	성별	합계	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택이외의 거처
기간	자치구	성별	합계	계	단독주택	아파트	연립주택	다세대주택	비거주용 건물내 주택	주택이외의 거처
2015	합계	계	1,115,744	982,577	521,776	237,913	17,387	161,031	44,470	133,167
2015	합계	남자	544,059	470,178	268,511	95,388	7,277	73,732	25,270	73,881
2015	합계	여자	571,685	512,399	253,265	142,525	10,110	87,299	19,200	59,286
2015	종로구	계	22,776	19,080	11,170	2,876	812	3,212	1,010	3,696
2015	종로구	남자	11,608	9,403	5,796	1,355	295	1,402	555	2,205
2015	종로구	여자	11,168	9,677	5,374	1,521	517	1,810	455	1,491
2015	중구	계	19,161	15,353	6,902	5,467	300	1,906	778	3,808
2015	중구	남자	9,934	7,559	3,535	2,472	140	959	453	2,375
2015	중구	여자	9,227	7,794	3,367	2,995	160	947	325	1,433
2015	용산구	계	31,025	27,870	16,323	6,005	673	4,255	614	3,155
2015	용산구	남자	14,556	12,702	7,831	2,414	265	1,908	284	1,854
2015	용산구	여자	16,469	15,168	8,492	3,591	408	2,347	330	1,301
2015	성동구	계	35,259	31,469	18,064	9,168	234	2,387	1,616	3,790
2015	성동구	남자	18,401	16,130	10,188	3,757	91	1,180	914	2,271
2015	성동구	여자	16,858	15,339	7,876	5,411	143	1,207	702	1,519
2015	광진구	계	54,210	48,772	35,001	3,203	551	7,073	2,944	5,438
2015	광진구	남자	27,186	24,172	17,687	1,367	192	3,229	1,697	3,014
2015	광진구	여자	27,024	24,600	17,314	1,836	359	3,844	1,247	2,424
2015	동대문구	계	52,884	45,888	29,835	8,785	566	4,188	2,514	6,996
2015	동대문구	남자	27,587	23,464	15,949	3,713	261	2,104	1,437	4,123
2015	동대문구	여자	25,297	22,424	13,886	5,072	305	2,084	1,077	2,873
2015	중랑구	계	45,138	42,648	29,063	6,587	827	4,529	1,642	2,490
2015	중랑구	남자	23,317	21,743	15,527	2,628	383	2,165	1,040	1,574
2015	중랑구	여자	21,821	20,905	13,536	3,959	444	2,364	602	916
2015	성북구	계	52,005	48,913	29,345	9,614	1,229	6,182	2,543	3,092
2015	성북구	남자	24,024	22,512	14,143	3,809	564	2,735	1,261	1,512
2015	성북구	여자	27,981	26,401	15,202	5,805	665	3,447	1,282	1,580
2015	강북구	계	35,787	33,339	19,349	5,343	749	7,046	852	2,448
2015	강북구	남자	16,600	15,190	9,380	2,002	295	3,046	467	1,410
2015	강북구	여자	19,187	18,149	9,969	3,341	454	4,000	385	1,038
2015	도봉구	계	27,348	25,805	11,756	8,498	558	4,482	511	1,543
2015	도봉구	남자	12,315	11,469	5,840	3,052	232	2,072	273	846
2015	도봉구	여자	15,033	14,336	5,916	5,446	326	2,410	238	697
2015	노원구	계	46,129	43,478	11,384	26,805	492	3,645	1,152	2,651
2015	노원구	남자	20,078	18,357	6,141	9,449	218	1,833	716	1,721
2015	노원구	여자	26,051	25,121	5,243	17,356	274	1,812	436	930
2015	은평구	계	43,936	39,443	18,030	6,442	881	12,885	1,205	4,493
2015	은평구	남자	20,042	17,741	8,461	2,609	334	5,665	672	2,301
2015	은평구	여자	23,894	21,702	9,569	3,833	547	7,220	533	2,192
2015	서대문구	계	40,160	36,655	20,573	6,991	1,004	6,563	1,524	3,505
2015	서대문구	남자	18,156	16,495	9,632	2,745	414	2,910	794	1,661
2015	서대문구	여자	22,004	20,160	10,941	4,246	590	3,653	730	1,844
2015	마포구	계	52,437	45,552	22,274	10,128	612	10,731	1,807	6,885
2015	마포구	남자	23,877	20,665	10,747	4,067	246	4,684	921	3,212
2015	마포구	여자	28,560	24,887	11,527	6,061	366	6,047	886	3,673
2015	양천구	계	32,832	30,295	14,061	8,257	634	6,782	561	2,537
2015	양천구	남자	15,737	14,345	7,449	3,216	264	3,111	305	1,392
2015	양천구	여자	17,095	15,950	6,612	5,041	370	3,671	256	1,145
2015	강서구	계	56,990	47,284	16,795	18,507	764	10,144	1,074	9,706
2015	강서구	남자	26,767	22,077	8,681	7,685	310	4,768	633	4,690
2015	강서구	여자	30,223	25,207	8,114	10,822	454	5,376	441	5,016
2015	구로구	계	40,988	30,967	15,739	9,137	1,046	4,122	923	10,021
2015	구로구	남자	21,088	15,562	8,542	4,014	443	1,996	567	5,526
2015	구로구	여자	19,900	15,405	7,197	5,123	603	2,126	356	4,495
2015	금천구	계	31,219	24,914	16,334	4,334	593	2,898	755	6,305
2015	금천구	남자	17,699	13,510	9,254	2,041	259	1,440	516	4,189
2015	금천구	여자	13,520	11,404	7,080	2,293	334	1,458	239	2,116
2015	영등포구	계	48,433	36,827	21,468	10,358	322	3,363	1,316	11,606
2015	영등포구	남자	24,963	18,470	11,316	4,494	151	1,747	762	6,493
2015	영등포구	여자	23,470	18,357	10,152	5,864	171	1,616	554	5,113
2015	동작구	계	53,954	48,441	30,137	8,258	785	7,155	2,106	5,513
2015	동작구	남자	27,184	23,780	15,640	3,330	355	3,304	1,151	3,404
2015	동작구	여자	26,770	24,661	14,497	4,928	430	3,851	955	2,109
2015	관악구	계	100,302	87,950	58,278	10,387	1,011	9,284	8,990	12,352
2015	관악구	남자	54,471	47,979	33,007	4,478	470	4,594	5,430	6,492
2015	관악구	여자	45,831	39,971	25,271	5,909	541	4,690	3,560	5,860
2015	서초구	계	37,496	33,252	13,579	10,955	693	6,253	1,772	4,244
2015	서초구	남자	17,019	14,643	6,280	4,335	291	2,821	916	2,376
2015	서초구	여자	20,477	18,609	7,299	6,620	402	3,432	856	1,868
2015	강남구	계	61,897	54,518	19,639	21,786	1,086	9,731	2,276	7,379
2015	강남구	남자	26,483	22,734	8,674	8,586	410	3,936	1,128	3,749
2015	강남구	여자	35,414	31,784	10,965	13,200	676	5,795	1,148	3,630
2015	송파구	계	53,481	48,193	17,269	11,467	626	16,622	2,209	5,288
2015	송파구	남자	25,147	22,105	8,687	4,317	257	7,580	1,264	3,042
2015	송파구	여자	28,334	26,088	8,582	7,150	369	9,042	945	2,246
2015	강동구	계	39,897	35,671	19,408	8,555	339	5,593	1,776	4,226
2015	강동구	남자	19,820	17,371	10,124	3,453	137	2,543	1,114	2,449
2015	강동구	여자	20,077	18,300	9,284	5,102	202	3,050	662	1,777
