기간	대분류	분류	사회적신뢰 종합	대부분의 일반 사람들	나의 이웃 사람들	공공 기관
2010	서울시	서울시	5.72	5.34	6.07	5.73
2010	성별	남자	5.71	5.37	6.06	5.69
2010	성별	여자	5.73	5.32	6.09	5.77
2010	연령별	10대	5.76	5.36	6.08	5.85
2010	연령별	20대	5.57	5.15	5.89	5.65
2010	연령별	30대	5.71	5.37	6.13	5.64
2010	연령별	40대	5.74	5.41	6.14	5.69
2010	연령별	50대	5.74	5.39	6.1	5.73
2010	연령별	60대 이상	5.79	5.39	6.08	5.91
2010	학력별	중졸 이하	5.7	5.25	6.02	5.84
2010	학력별	고졸 이하	5.72	5.38	6.04	5.74
2010	학력별	전문대 이하	5.67	5.32	6.04	5.65
2010	학력별	4년제 이하	5.76	5.39	6.17	5.72
2010	학력별	대학원 이상	5.68	5.3	6.18	5.54
2010	소득별	100만원 미만	5.64	5.26	5.88	5.78
2010	소득별	100-200만원 미만	5.59	5.33	5.86	5.58
2010	소득별	200-300만원 미만	5.62	5.34	5.94	5.59
2010	소득별	300-400만원 미만	5.7	5.32	6.04	5.73
2010	소득별	400-500만원 미만	5.85	5.47	6.23	5.83
2010	소득별	500만원 이상	5.8	5.31	6.24	5.85
2010	혼인상태별	기혼	5.78	5.41	6.17	5.76
2010	혼인상태별	미혼	5.6	5.21	5.92	5.66
2010	혼인상태별	이혼/별거	5.58	5.3	5.82	5.61
2010	혼인상태별	사별	5.69	5.3	5.93	5.85
2010	지역대분류	도심권	5.62	5.2	6.09	5.55
2010	지역대분류	동북권	5.59	5.18	5.95	5.63
2010	지역대분류	서북권	5.69	5.29	6.12	5.66
2010	지역대분류	서남권	5.7	5.4	5.99	5.71
2010	지역대분류	동남권	5.98	5.59	6.36	6
2010	종로구	종로구	5.42	4.85	6.06	5.36
2010	중구	중구	6.1	5.68	6.6	6.02
2010	용산구	용산구	5.52	5.22	5.88	5.47
2010	성동구	성동구	5.83	5.25	6	6.26
2010	광진구	광진구	5.24	4.82	5.58	5.31
2010	동대문구	동대문구	5.65	5.36	6.02	5.56
2010	중랑구	중랑구	5.94	5.31	6.06	6.44
2010	성북구	성북구	5.54	4.91	5.97	5.73
2010	강북구	강북구	5.48	5.15	5.79	5.5
2010	도봉구	도봉구	5.56	5.38	6.01	5.29
2010	노원구	노원구	5.51	5.28	6.06	5.17
2010	은평구	은평구	6.1	5.64	6.44	6.22
2010	서대문구	서대문구	5.47	5.18	6.1	5.12
2010	마포구	마포구	5.37	4.95	5.73	5.42
2010	양천구	양천구	5.51	5.13	5.89	5.53
2010	강서구	강서구	5.39	5.09	5.82	5.27
2010	구로구	구로구	5.92	5.67	6.02	6.05
2010	금천구	금천구	5.25	4.88	5.59	5.27
2010	영등포구	영등포구	5.74	5.29	6.16	5.77
2010	동작구	동작구	6.11	5.93	6.3	6.11
2010	관악구	관악구	5.88	5.65	6.06	5.92
2010	서초구	서초구	5.97	5.33	6.4	6.17
2010	강남구	강남구	5.96	5.67	6.12	6.08
2010	송파구	송파구	5.9	5.46	6.45	5.78
2010	강동구	강동구	6.16	5.91	6.5	6.07
