기간,대분류,분류,종합,가족,이웃,처음 만난 사람,다른 나라 사람,공공 기관
2013,서울시,서울시,5.23,8.77,5.36,3.66,3.02,5.32
2013,성별,남자,5.24,8.77,5.4,3.68,3.07,5.31
2013,성별,여자,5.21,8.77,5.33,3.63,2.97,5.33
2013,연령별,10대,5.38,8.97,5.43,3.75,3.24,5.51
2013,연령별,20대,5.17,8.88,5.14,3.51,2.92,5.42
2013,연령별,30대,5.09,8.75,5.18,3.43,2.96,5.12
2013,연령별,40대,5.24,8.8,5.38,3.68,3.07,5.26
2013,연령별,50대,5.29,8.74,5.51,3.76,3.11,5.34
2013,연령별,60대 이상,5.29,8.66,5.55,3.84,2.97,5.41
2013,학력별,중졸 이하,5.32,8.7,5.52,3.87,3.06,5.43
2013,학력별,고졸 이하,5.26,8.68,5.44,3.73,3.09,5.38
2013,학력별,대졸 이하,5.16,8.86,5.25,3.51,2.94,5.23
2013,학력별,대학원 이상,5.28,8.85,5.3,3.75,3.36,5.14
2013,소득별,100 만원 미만,5.1,8.1,5.34,3.79,3.08,5.19
2013,소득별,100-200만 미만,5.28,8.4,5.5,3.86,3.13,5.51
2013,소득별,200-300만 미만,5.18,8.74,5.24,3.56,2.94,5.42
2013,소득별,300-400만 미만,5.24,8.69,5.43,3.73,3.1,5.27
2013,소득별,400-500만 미만,5.3,8.81,5.43,3.81,3.15,5.31
2013,소득별,500만 이상,5.17,9.04,5.28,3.44,2.85,5.25
2013,혼인상태별,기혼,5.26,8.8,5.45,3.73,3.05,5.26
2013,혼인상태별,미혼,5.21,8.85,5.21,3.52,3.01,5.45
2013,혼인상태별,이혼/별거,4.8,8.18,4.88,3.1,2.75,5.08
2013,혼인상태별,사별,5.25,8.5,5.5,3.89,2.96,5.4
2013,지역대분류,도심권,5.07,8.67,5.17,3.64,2.94,4.93
2013,지역대분류,동북권,5.48,8.84,5.7,4.02,3.33,5.51
2013,지역대분류,서북권,5.26,8.92,5.29,3.46,2.87,5.75
2013,지역대분류,서남권,5.28,8.79,5.42,3.75,3.14,5.31
2013,지역대분류,동남권,4.75,8.57,4.83,3.05,2.45,4.87
2013,종로구,종로구,4.9,8.8,4.73,3.23,2.76,4.98
2013,중구,중구,5.01,8.63,5.01,3.58,2.78,5.04
2013,용산구,용산구,5.22,8.61,5.57,3.96,3.14,4.83
2013,성동구,성동구,4.86,8.05,5.01,3.72,3.03,4.47
2013,광진구,광진구,5.38,8.45,5.41,3.9,3.26,5.91
2013,동대문구,동대문구,4.97,8.5,4.93,3.47,3.02,4.94
2013,중랑구,중랑구,5.69,9.18,5.81,4.31,3.57,5.56
2013,성북구,성북구,5.41,9.07,5.88,3.7,2.79,5.6
2013,강북구,강북구,5.47,8.66,5.51,3.95,3.43,5.8
2013,도봉구,도봉구,5.85,9.21,5.87,4.36,3.86,5.96
2013,노원구,노원구,5.83,9.12,6.46,4.46,3.58,5.55
2013,은평구,은평구,5.48,8.96,5.53,3.65,3.15,6.11
2013,서대문구,서대문구,5.21,9.15,5.46,3.3,2.78,5.35
2013,마포구,마포구,5.01,8.69,4.84,3.32,2.59,5.59
2013,양천구,양천구,5.97,8.78,5.95,4.84,4.42,5.88
2013,강서구,강서구,5.23,8.48,5.27,3.92,3.46,5.02
2013,구로구,구로구,4.67,8.15,4.76,3.11,2.9,4.45
2013,금천구,금천구,5.07,8.87,5.27,3.33,2.67,5.21
2013,영등포구,영등포구,5.3,9.15,5.41,3.82,3.19,4.95
2013,동작구,동작구,4.77,8.95,5.02,2.72,2,5.19
2013,관악구,관악구,5.67,9.23,6.02,4.01,2.88,6.21
2013,서초구,서초구,4.32,8.82,4.25,2.09,1.45,4.98
2013,강남구,강남구,4.6,8.61,4.73,2.89,2.16,4.61
2013,송파구,송파구,5.01,8.44,5.04,3.49,3.02,5.03
2013,강동구,강동구,4.98,8.49,5.2,3.48,2.92,4.83
