기간	대분류	분류	종합	가족	이웃	처음 만난 사람	다른 나라 사람	공공 기관
2014	서울시	서울시	5.11	8.8	5.54	3.16	2.97	5.08
2014	성별	남자	5.11	8.76	5.53	3.19	3.01	5.04
2014	성별	여자	5.11	8.84	5.55	3.13	2.92	5.13
2014	연령별	10대	5.12	8.98	5.37	3.08	3.01	5.18
2014	연령별	20대	5.03	8.82	5.35	3	2.9	5.09
2014	연령별	30대	5.07	8.84	5.5	3.15	2.95	4.92
2014	연령별	40대	5.09	8.82	5.5	3.18	3	4.93
2014	연령별	50대	5.15	8.78	5.63	3.19	2.97	5.18
2014	연령별	60대 이상	5.19	8.68	5.74	3.27	2.99	5.25
2014	학력별	중졸 이하	5.16	8.74	5.61	3.26	2.97	5.25
2014	학력별	고졸 이하	5.12	8.74	5.6	3.19	2.99	5.1
2014	학력별	대졸 이하	5.09	8.85	5.48	3.12	2.95	5.02
2014	학력별	대학원 이상	5.15	9.05	5.46	2.97	3.1	5.19
2014	소득별	100 만원 미만	5.19	8.28	5.78	3.44	3.22	5.23
2014	소득별	100-200만 미만	5.1	8.46	5.55	3.29	2.98	5.24
2014	소득별	200-300만 미만	4.99	8.57	5.43	3.05	2.89	5.02
2014	소득별	300-400만 미만	5.12	8.8	5.62	3.22	2.97	5.01
2014	소득별	400-500만 미만	5.2	8.91	5.69	3.25	3.02	5.11
2014	소득별	500만 이상	5.08	8.96	5.39	3.03	2.93	5.09
2014	혼인상태별	기혼	5.14	8.86	5.62	3.19	2.97	5.05
2014	혼인상태별	미혼	5.04	8.76	5.33	3.05	2.97	5.08
2014	혼인상태별	이혼/별거	4.95	8.35	5.33	3.16	2.92	5.02
2014	혼인상태별	사별	5.2	8.6	5.72	3.29	3	5.38
2014	지역대분류	도심권	5.05	8.78	5.69	3	2.78	4.99
2014	지역대분류	동북권	5.1	8.81	5.57	3.15	3	4.95
2014	지역대분류	서북권	5.18	8.91	5.55	3.15	2.89	5.4
2014	지역대분류	서남권	5.12	8.71	5.57	3.19	2.91	5.22
2014	지역대분류	동남권	5.08	8.84	5.4	3.18	3.1	4.9
2014	종로구	종로구	5.33	9.15	5.74	3.04	3.25	5.46
2014	중구	중구	5.21	8.61	6.15	3.29	2.92	5.08
2014	용산구	용산구	4.76	8.61	5.41	2.81	2.39	4.61
2014	성동구	성동구	4.94	8.65	5.05	3.03	3.08	4.9
2014	광진구	광진구	5.12	8.73	5.67	3.4	3	4.78
2014	동대문구	동대문구	4.99	8.69	5.53	3.05	2.94	4.71
2014	중랑구	중랑구	4.75	8.62	5.24	2.35	2.6	4.96
2014	성북구	성북구	5.31	8.96	5.98	3.53	3.11	4.97
2014	강북구	강북구	5.07	9	5.78	3.29	2.88	4.41
2014	도봉구	도봉구	5.44	8.4	5.42	3.96	4.27	5.14
2014	노원구	노원구	5.12	9.2	5.69	2.81	2.47	5.42
2014	은평구	은평구	5.26	8.92	5.57	3.31	2.87	5.62
2014	서대문구	서대문구	5.02	8.95	5.78	2.9	2.47	4.98
2014	마포구	마포구	5.21	8.85	5.33	3.15	3.25	5.48
2014	양천구	양천구	5.52	8.66	5.65	3.71	3.6	5.99
2014	강서구	강서구	4.85	8.72	5.31	2.84	2.82	4.57
2014	구로구	구로구	4.9	8.6	5.3	2.92	2.64	5.04
2014	금천구	금천구	5.11	9.08	5.61	3.02	2.69	5.15
2014	영등포구	영등포구	5.24	9.21	5.64	3.34	2.79	5.21
2014	동작구	동작구	5.38	9.06	6.02	3.24	2.94	5.62
2014	관악구	관악구	4.97	8.04	5.57	3.26	2.81	5.16
2014	서초구	서초구	4.96	9.01	5.56	2.86	2.77	4.62
2014	강남구	강남구	5.08	8.42	5.24	3.39	3.51	4.82
2014	송파구	송파구	5.16	9.1	5.31	3.32	3.09	5
2014	강동구	강동구	5.11	8.83	5.53	3.06	2.97	5.14
