기간	대분류	분류	종합	가족	이웃	낯선사람	공공기관
2015	서울시	서울시	5.53	8.83	5.51	2.73	5.05
2015	성별	남자	5.53	8.84	5.54	2.74	5.01
2015	성별	여자	5.53	8.81	5.48	2.73	5.1
2015	연령별	10대	5.57	8.89	5.42	2.78	5.19
2015	연령별	20대	5.5	8.9	5.36	2.72	5.02
2015	연령별	30대	5.47	8.89	5.5	2.66	4.83
2015	연령별	40대	5.53	8.84	5.54	2.76	4.98
2015	연령별	50대	5.62	8.79	5.7	2.83	5.17
2015	연령별	60대 이상	5.52	8.72	5.47	2.68	5.22
2015	학력별	중졸 이하	5.53	8.77	5.48	2.57	5.29
2015	학력별	고졸 이하	5.56	8.82	5.52	2.87	5.05
2015	학력별	대졸 이하	5.51	8.85	5.51	2.67	5
2015	학력별	대학원 이상	5.51	8.71	5.52	2.55	5.25
2015	소득별	100 만원 미만	…	…	…	…	…
2015	소득별	100-200만 미만	…	…	…	…	…
2015	소득별	200-300만 미만	…	…	…	…	…
2015	소득별	300-400만 미만	…	…	…	…	…
2015	소득별	400-500만 미만	…	…	…	…	…
2015	소득별	500만 이상	…	…	…	…	…
2015	혼인상태별	기혼	…	…	…	…	…
2015	혼인상태별	미혼	…	…	…	…	…
2015	혼인상태별	이혼/별거	…	…	…	…	…
2015	혼인상태별	사별	…	…	…	…	…
2015	지역대분류	도심권	5.58	8.77	5.67	2.98	4.9
2015	지역대분류	동북권	5.63	8.9	5.59	2.85	5.18
2015	지역대분류	서북권	5.56	8.88	5.56	2.5	5.28
2015	지역대분류	서남권	5.49	8.75	5.47	2.74	4.98
2015	지역대분류	동남권	5.42	8.81	5.39	2.61	4.88
2015	종로구	종로구	5.41	8.5	5.56	2.71	4.89
2015	중구	중구	5.68	9.08	5.76	3.13	4.75
2015	용산구	용산구	5.64	8.79	5.7	3.07	4.98
2015	성동구	성동구	5.41	8.74	5.5	2.32	5.07
2015	광진구	광진구	5.7	8.99	5.81	3.05	4.96
2015	동대문구	동대문구	5.49	8.81	5.62	2.57	4.97
2015	중랑구	중랑구	5.81	9.07	5.61	3.03	5.51
2015	성북구	성북구	5.74	8.93	5.63	3.32	5.08
2015	강북구	강북구	5.76	8.91	5.67	2.95	5.5
2015	도봉구	도봉구	5.69	8.9	5.71	2.61	5.52
2015	노원구	노원구	5.46	8.83	5.28	2.76	4.95
2015	은평구	은평구	5.64	8.91	5.57	2.7	5.36
2015	서대문구	서대문구	5.55	8.85	5.44	2.68	5.22
2015	마포구	마포구	5.46	8.87	5.64	2.1	5.24
2015	양천구	양천구	5.74	8.6	5.38	3.98	5
2015	강서구	강서구	5.47	8.72	5.66	2.54	4.96
2015	구로구	구로구	5.23	8.74	5.4	1.75	5.02
2015	금천구	금천구	5.41	8.67	5.51	2.42	5.03
2015	영등포구	영등포구	5.28	8.64	5.23	2.25	4.99
2015	동작구	동작구	5.43	8.79	5.44	2.74	4.73
2015	관악구	관악구	5.71	8.99	5.59	3.14	5.13
2015	서초구	서초구	5.53	8.81	5.29	3.26	4.77
2015	강남구	강남구	5.37	8.78	5.27	2.45	4.96
2015	송파구	송파구	5.51	8.81	5.61	2.68	4.95
2015	강동구	강동구	5.25	8.85	5.31	2.08	4.78
