기간,대분류,분류,종합,가족,이웃,공공 기관
2017,서울시,서울시,6.43,8.65,5.47,5.18
2017,성별,남자,6.44,8.67,5.47,5.18
2017,성별,여자,6.43,8.63,5.47,5.18
2017,연령별,10대,6.5,8.77,5.47,5.25
2017,연령별,20대,6.4,8.71,5.43,5.06
2017,연령별,30대,6.42,8.75,5.35,5.16
2017,연령별,40대,6.4,8.65,5.44,5.13
2017,연령별,50대,6.45,8.58,5.54,5.22
2017,연령별,60대 이상,6.47,8.56,5.58,5.27
2017,학력별,중졸 이하,6.42,8.5,5.49,5.27
2017,학력별,고졸 이하,6.43,8.57,5.53,5.19
2017,학력별,대졸 이하,6.44,8.73,5.44,5.15
2017,학력별,대학원 이상,6.45,9.02,5.16,5.17
2017,소득별,100 만원 미만,6.2,8.34,5.27,5
2017,소득별,100-200만 미만,6.26,8.41,5.34,5.04
2017,소득별,200-300만 미만,6.38,8.52,5.42,5.19
2017,소득별,300-400만 미만,6.42,8.64,5.44,5.18
2017,소득별,400-500만 미만,6.48,8.7,5.55,5.2
2017,소득별,500만 이상,6.5,8.77,5.52,5.22
2017,혼인상태별,기혼,6.5,8.7,5.57,5.23
2017,혼인상태별,미혼,6.36,8.65,5.35,5.1
2017,혼인상태별,이혼/별거,6.15,8.35,5.15,4.96
2017,혼인상태별,사별,6.39,8.42,5.46,5.29
2017,지역대분류,도심권,6.48,8.61,5.58,5.24
2017,지역대분류,동북권,6.43,8.7,5.48,5.11
2017,지역대분류,서북권,6.24,8.52,5.35,4.84
2017,지역대분류,서남권,6.43,8.54,5.5,5.26
2017,지역대분류,동남권,6.54,8.83,5.46,5.34
2017,종로구,종로구,6.71,8.63,6.01,5.49
2017,중구,중구,6.53,8.85,5.46,5.29
2017,용산구,용산구,6.29,8.46,5.34,5.05
2017,성동구,성동구,6.44,8.71,5.35,5.24
2017,광진구,광진구,6.37,8.98,4.99,5.13
2017,동대문구,동대문구,6.14,8.5,5.16,4.76
2017,중랑구,중랑구,6.63,8.9,5.75,5.25
2017,성북구,성북구,6.25,8.61,5.32,4.82
2017,강북구,강북구,6.59,8.53,5.8,5.45
2017,도봉구,도봉구,6.51,8.53,5.79,5.22
2017,노원구,노원구,6.49,8.74,5.62,5.1
2017,은평구,은평구,6.42,8.77,5.53,4.96
2017,서대문구,서대문구,6.21,8.42,5.35,4.86
2017,마포구,마포구,6.02,8.27,5.1,4.68
2017,양천구,양천구,5.9,8.02,4.93,4.75
2017,강서구,강서구,6.33,8.67,5.17,5.13
2017,구로구,구로구,6.83,8.99,5.81,5.68
2017,금천구,금천구,6.61,8.73,6.08,5.03
2017,영등포구,영등포구,6.77,8.62,6.03,5.65
2017,동작구,동작구,5.89,8.02,4.92,4.72
2017,관악구,관악구,6.83,8.75,5.97,5.78
2017,서초구,서초구,6.7,8.95,5.64,5.51
2017,강남구,강남구,6.56,8.7,5.52,5.45
2017,송파구,송파구,6.29,9.05,4.9,4.92
2017,강동구,강동구,6.73,8.54,6.02,5.64
