기간,대분류,분류,사회적신뢰 종합,가족,이웃,친구,공공 기관
2018,서울시,서울시,6.54,8.47,5.22,7.08,5.37
2018,성별,남자,6.51,8.45,5.16,7.09,5.34
2018,성별,여자,6.56,8.49,5.28,7.07,5.4
2018,연령별,10대,6.56,8.54,4.91,7.59,5.17
2018,연령별,20대,6.51,8.56,4.88,7.43,5.16
2018,연령별,30대,6.53,8.56,5.09,7.11,5.34
2018,연령별,40대,6.55,8.56,5.27,7.02,5.35
2018,연령별,50대,6.58,8.42,5.43,7,5.47
2018,연령별,60대 이상,6.52,8.29,5.47,6.78,5.54
2018,학력별,중졸 이하,6.51,8.26,5.43,6.77,5.57
2018,학력별,고졸 이하,6.53,8.4,5.34,6.97,5.41
2018,학력별,대졸 이하,6.55,8.56,5.13,7.21,5.31
2018,학력별,대학원 이상,6.48,8.55,4.78,7.33,5.25
2018,소득별,100 만원 미만,6.38,8.33,5.07,6.83,5.29
2018,소득별,100-200만 미만,6.49,8.23,5.27,6.94,5.5
2018,소득별,200-300만 미만,6.45,8.24,5.19,7.07,5.32
2018,소득별,300-400만 미만,6.56,8.44,5.21,7.13,5.44
2018,소득별,400-500만 미만,6.58,8.53,5.23,7.13,5.43
2018,소득별,500만 이상,6.56,8.58,5.24,7.1,5.32
2018,혼인상태별,기혼,6.61,8.6,5.39,7.01,5.45
2018,혼인상태별,미혼,6.46,8.42,4.87,7.37,5.19
2018,혼인상태별,이혼/별거,6.21,7.72,5.02,6.81,5.3
2018,혼인상태별,사별,6.44,8.1,5.46,6.65,5.53
2018,지역대분류,도심권,6.55,8.45,5.5,7.05,5.21
2018,지역대분류,동북권,6.5,8.5,5.22,6.93,5.34
2018,지역대분류,서북권,6.64,8.82,5.22,7.2,5.33
2018,지역대분류,서남권,6.52,8.42,4.99,7.19,5.5
2018,지역대분류,동남권,6.55,8.32,5.51,7.09,5.28
2018,종로구,종로구,5.96,8,4.92,6.69,4.23
2018,중구,중구,6.83,8.72,5.54,7.38,5.67
2018,용산구,용산구,6.81,8.61,5.89,7.12,5.64
2018,성동구,성동구,6.17,8.15,4.98,6.54,5.01
2018,광진구,광진구,6.89,8.51,5.63,7.56,5.88
2018,동대문구,동대문구,5.83,8.16,4.35,6.16,4.66
2018,중랑구,중랑구,6.79,8.51,5.72,7.25,5.7
2018,성북구,성북구,6.27,8.42,5.25,6.43,4.98
2018,강북구,강북구,6.64,8.46,5.27,7.18,5.66
2018,도봉구,도봉구,6.65,8.55,5.51,7.12,5.42
2018,노원구,노원구,6.65,8.96,5.07,7.14,5.4
2018,은평구,은평구,6.45,8.87,4.68,7.25,4.99
2018,서대문구,서대문구,6.55,8.63,5.32,6.97,5.27
2018,마포구,마포구,6.97,8.93,5.83,7.34,5.79
2018,양천구,양천구,6.33,7.41,5.51,6.91,5.5
2018,강서구,강서구,6.21,8.51,4.06,7.03,5.24
2018,구로구,구로구,6.73,8.82,5.16,7.19,5.75
2018,금천구,금천구,6.95,9.03,5.37,7.48,5.9
2018,영등포구,영등포구,6.5,8,5.34,7.09,5.58
2018,동작구,동작구,6.08,8.31,4.04,7.14,4.84
2018,관악구,관악구,7.01,8.93,5.72,7.56,5.84
2018,서초구,서초구,6.3,8.17,5.2,6.63,5.19
2018,강남구,강남구,6.71,8.13,5.73,7.11,5.89
2018,송파구,송파구,6.81,8.55,5.65,7.56,5.48
2018,강동구,강동구,6.19,8.35,5.31,6.81,4.3
