"","title_c","sum_c","score_c"
"1","A - STUDENT(모범생)","사악한 본성","9.83"
"2","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"3","홈 스윗 홈","네식구 사는 이야기","9.85"
"4","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"5","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"6","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"7","선선한 이야기","프리랜선선","9.68"
"8","일상견문록","다른나라 일상이야기","9.85"
"9","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"10","카나와 초나의 독일","독일 유학 생존기","9.89"
"11","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"12","다 이아리","데이트폭력에 관하여","9.84"
"13","식인귀","괴물이 보인다","9.77"
"14","저승파견고용직","기묘한 만화","9.92"
"15","검은 늑대","검은 늑대","9.87"
"16","제목이 7080 만화","7080 이야기","9.90"
"17","하루와 모레","일상 이야기 :)","9.68"
"18","올어바웃 You","봉카의 외노자인생","9.87"
"19","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"20","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"21","외국 in 한국","영국인의한국생활","9.87"
"22","중딩툰","중딩이 그리는 웹툰","9.46"
"23","파리스의 선택","그리스 신화 회귀물","9.93"
"24","아옹아옹","두식이 냥육일기","9.92"
"25","그를 좋아한다","그는 누구일까","9.71"
"26","3구역 숲","코아의 특별함","9.49"
"27","우주의 수호천사","우주의 수호천사!","9.88"
"28","멜팅 포인트","","9.78"
"29","등교하는 근식이","목숨을 건 개근일기","9.89"
"30","슬픔을 먹는 남자","성장물,감성,판타지","9.92"
"31","미용사 : LOST HERO","전직용사현직미용사!","9.72"
"32","어느 남고생의 하루","말하는강아지와의일상","9.89"
"33","소녀가 여행하는 법 2 베트남 프렌즈 여행기","여행장려웹툰","9.86"
"34","당신의 한 순간","#심리#영혼#힐링","9.78"
"35","달콤한 비밀 연애","사내연애 후  일상","9.67"
"36","루이와 졸개들 R","나만알고싶은 양아치","9.79"
"37","시크릿가족","성교육웹툰!!","9.88"
"38","그날, 우리들의 여름.","격주 연재합니다.","9.85"
"39","네가 꿈꾸는 동안에","꿈으로 드러난 범죄","9.92"
"40","다시 돌아온","다시 돌아온","9.74"
"41","헌트","어디에 있는가","9.64"
"42","리프로듀싱","내가 여자 아이돌?","9.60"
"43","오! 덕후를 위하여","덕심충만, 취향존중!","9.89"
"44","나는 부활 마법을 가졌다","부활판타지","9.86"
"45","Twins Love Story (트윈스 러브 스토리)","쌍둥이의 사랑이야기","9.87"
"46","인더하우스","동거 로맨스","9.84"
"47","만가","란의 성장 판타지.","9.48"
"48","마법약사","포션장사하는 이야기","9.95"
"49","오마이레이스(Oh! my lace)","아주 강력한 쇼핑몰이 온다!!!","9.74"
"50","봄봄","봄봄","9.75"
"51","내일은 만화왕","본격입시만화만화","9.71"
"52","낙원이야기","SF샤머니즘","8.18"
"53","양의 향수병","어른 동화","9.55"
"54","세가지색 클로버","3가지 인격의 주인공이 펼치는 액션만화~","9.54"
"55","지구방위 연구소","본격 4컷만화","9.74"
"56","델리의 말랑말랑","외로워도 슬퍼도 나는 안울어-","9.03"
